row_label_raw,row_label_full,col_0,Phân mềm máy tính,Bản quyền phần mềm,Cộng,numeric__Phân mềm máy tính,numeric__Bản quyền phần mềm,numeric__Cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,58.500.000,387.000.000,445.500.000,58500000.0,387000000.0,445500000.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,56.620.000,250.761.069,307.381.069,56620000.0,250761069.0,307381069.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,115.120.000,637.761.069,752.881.069,115120000.0,637761069.0,752881069.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,55.207.411,39.560.000,94.767.411,55207411.0,39560000.0,94767411.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,11.963.486,113.899.673,125.863.159,11963486.0,113899673.0,125863159.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,67.170.897,153.459.673,220.630.570,67170897.0,153459673.0,220630570.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,3.292.589,347.440.000,350.732.589,3292589.0,347440000.0,350732589.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,47.949.103,484.301.396,532.250.499,47949103.0,484301396.0,532250499.0
