row_label_raw,row_label_full,Năm trước > Số đầu năm,Vốn cổ phần đã góp > Năm trước > 1.999.963.050.000,Thặng dư vốn cổ phần > Năm trước > 60.986.800.000,Quỹ khác > Năm trước > -,Lợi nhuận sau thuế chưa phân phối > Năm trước > 502.414.878.523,Lợi ích cổ đông không kiểm soát > Năm trước > 14.211.057.001,Đơn vị tính: VND > Năm trước > Tổng cộng,numeric__Vốn cổ phần đã góp > Năm trước > 1.999.963.050.000,numeric__Thặng dư vốn cổ phần > Năm trước > 60.986.800.000,numeric__Quỹ khác > Năm trước > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước > 502.414.878.523,numeric__Lợi ích cổ đông không kiểm soát > Năm trước > 14.211.057.001,numeric__Đơn vị tính: VND > Năm trước > Tổng cộng
- Tăng thêm tỷ lệ lợi ích trong công ty con hiện hữu,- Tăng thêm tỷ lệ lợi ích trong công ty con hiện hữu,- Tăng thêm tỷ lệ lợi ích trong công ty con hiện hữu,-,-,-,(35.519.534.370),-,2.577.575.785.524,,,,-35519534370.0,,2577575785524.0
- Mua công ty con,- Mua công ty con,- Mua công ty con,-,-,-,-,1.797.335.898,(35.519.534.370),,,,,1797335898.0,-35519534370.0
- Vốn góp của cổ đông thiểu số vào công ty con,- Vốn góp của cổ đông thiểu số vào công ty con,- Vốn góp của cổ đông thiểu số vào công ty con,-,-,-,-,30.000.000.000,1.797.335.898,,,,,30000000000.0,1797335898.0
- Chuyển nhượng công ty con trong năm,- Chuyển nhượng công ty con trong năm,- Chuyển nhượng công ty con trong năm,-,-,-,-,(14.211.057.001),30.000.000.000,,,,,-14211057001.0,30000000000.0
- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,446.702.265.689,6.264.992.043,(14.211.057.001),,,,446702265689.0,6264992043.0,-14211057001.0
- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,-,-,-,(11.941.116.131),-,452.967.257.732,,,,-11941116131.0,,452967257732.0
- Thủ lao HĐQT,- Thủ lao HĐQT,- Thủ lao HĐQT,-,-,-,(7.868.905.000),-,(11.941.116.131),,,,-7868905000.0,,-11941116131.0
Số cuối năm,Số cuối năm,Số cuối năm,1.999.963.050.000,60.986.800.000,-,893.787.588.711,38.062.327.941,(7.868.905.000),1999963050000.0,60986800000.0,,893787588711.0,38062327941.0,-7868905000.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,1.999.963.050.000,60.986.800.000,-,893.787.588.711,38.062.327.941,2.992.799.766.652,1999963050000.0,60986800000.0,,893787588711.0,38062327941.0,2992799766652.0
- Cổ tức bằng cổ phiếu (Thuyết minh số 26.4),Năm nay > - Cổ tức bằng cổ phiếu (Thuyết minh số 26.4),- Cổ tức bằng cổ phiếu (Thuyết minh số 26.4),644.982.770.000,-,-,(644.982.770.000),-,2.992.799.766.652,644982770000.0,,,-644982770000.0,,2992799766652.0
- Chia cổ tức (*),Năm nay > - Chia cổ tức (*),- Chia cổ tức (*),-,-,-,-,(7.391.433.189),-,,,,,-7391433189.0,
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,92.293.322.388,5.318.156.823,(7.391.433.189),,,,92293322388.0,5318156823.0,-7391433189.0
- Trích quỹ khen thưởng phúc lợi (**),Năm nay > - Trích quỹ khen thưởng phúc lợi (**),- Trích quỹ khen thưởng phúc lợi (**),-,-,-,(19.748.623.225),-,97.611.479.211,,,,-19748623225.0,,97611479211.0
- Trích lập quỹ khác,Năm nay > - Trích lập quỹ khác,- Trích lập quỹ khác,-,-,580.012.025,(446.609.259),(133.402.766),(19.748.623.225),,,580012025.0,-446609259.0,-133402766.0,-19748623225.0
- Thủ lao HĐQT (**),Năm nay > - Thủ lao HĐQT (**),- Thủ lao HĐQT (**),-,-,-,(6.402.905.575),(124.912.882),(6.527.818.457),,,,-6402905575.0,-124912882.0,-6527818457.0
- Tăng tỷ lệ sở hữu trong công ty con hiện hữu,Năm nay > - Tăng tỷ lệ sở hữu trong công ty con hiện hữu,- Tăng tỷ lệ sở hữu trong công ty con hiện hữu,-,-,-,8.535.690.655,(7.155.690.655),1.380.000.000,,,,8535690655.0,-7155690655.0,1380000000.0
- Chuyển nhượng một phần sở hữu trong công ty con nhưng không mất quyền kiểm soát (***),Năm nay > - Chuyển nhượng một phần sở hữu trong công ty con nhưng không mất quyền kiểm soát (***),- Chuyển nhượng một phần sở hữu trong công ty con nhưng không mất quyền kiểm soát (***),-,-,-,193.394.614.808,369.425.385.192,562.820.000.000,,,,193394614808.0,369425385192.0,562820000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,2.644.945.820.000,60.986.800.000,580.012.025,516.430.308.503,398.000.430.464,3.620.943.370.992,2644945820000.0,60986800000.0,580012025.0,516430308503.0,398000430464.0,3620943370992.0
