row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty liên quan của thành viên Hội đồng Quản trị,Phải thu dịch vụ môi giới Đã thu tiền phí dịch vụ môi giới,20.274.129.5865.400.521.430,16.718.465.23513.755.697.977,,,2.0274129586540052e+20,1.6718465235137557e+21
Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty liên quan của thành viên Hội đồng Quản trị,Phải thu về hoạt động cho thuê,,1.285.305.145,,,,1285305145.0
Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty liên quan của thành viên Hội đồng Quản trị,Cho vay,,8.000.000.000,,,,8000000000.0
Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty liên quan của thành viên Hội đồng Quản trị,Tiền đã nhận theo biên bản thỏa thuận,16.355.465.698,-,,,16355465698.0,
Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty liên quan của thành viên Hội đồng Quản trị,Phải thu theo hợp đồng chuyển nhượng,202.200.220.000,-,,,202200220000.0,
Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty liên quan của thành viên Hội đồng Quản trị,Bù trừ công nợ,202.200.220.000,-,,,202200220000.0,
Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty liên quan của thành viên Hội đồng Quản trị,Phải thu phí dịch vụ và quản lý,19.194.504.015,-,,,19194504015.0,
Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty liên quan của thành viên Hội đồng Quản trị,Phi dịch vụ và quản lý đã thu,16.863.006.451,-,,,16863006451.0,
Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty liên quan của thành viên Hội đồng Quản trị,Phải trả phí dịch vụ thu hộ,13.532.798.047,-,,,13532798047.0,
Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty Hải PhátThủ Đỏ,Công ty liên quan của thành viên Hội đồng Quản trị,Phí dịch vụ thu hộ đã trả,12.733.583.582,-,,,12733583582.0,
