row_label_raw,row_label_full,col_0,Kinh doanh bất động sản,Kinh doanh dịch vụ môi giới,Kinh doanh cho thuê BDS và hoạt động liên quan khác,Đơn vị tính: VND,Đơn vị tính: VND_1,numeric__Kinh doanh bất động sản,numeric__Kinh doanh dịch vụ môi giới,numeric__Kinh doanh cho thuê BDS và hoạt động liên quan khác,numeric__Đơn vị tính: VND,numeric__Đơn vị tính: VND_1
,,,Kinh doanh bất động sản,Kinh doanh dịch vụ môi giới,Kinh doanh cho thuê BDS và hoạt động liên quan khác,Loại trừ,Tổng cộng,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,837.170.327.303,361.375.730.661,131.081.857.850,-,1.329.627.915.814,837170327303.0,361375730661.0,131081857850.0,,1329627915814.0
Doanh thu từ bán hàng cho các bộ phận,Doanh thu > Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,-,13.912.336.538,49.876.367.264,(63.788.703.802),-,,13912336538.0,49876367264.0,-63788703802.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,837.170.327.303,375.288.067.199,180.958.225.114,(63.788.703.802),1.329.627.915.814,837170327303.0,375288067199.0,180958225114.0,-63788703802.0,1329627915814.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lợi nhuận thuần trước thuế của bộ phận,Kết quả > Lợi nhuận thuần trước thuế của bộ phận,Lợi nhuận thuần trước thuế của bộ phận,125.299.374.469,85.694.767.948,351.548.922,-,211.345.691.339,125299374469.0,85694767948.0,351548922.0,,211345691339.0
Thu nhập/(chi phí) không phân bổ (*),Kết quả > Thu nhập/(chi phí) không phân bổ (*),Thu nhập/(chi phí) không phân bổ (*),,,,,(66.680.044.329),,,,,-66680044329.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,,144.665.647.010,,,,,144665647010.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(47.054.167.799),,,,,-47054167799.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,97.611.479.211,,,,,97611479211.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,4.459.858.831.501,283.932.994.215,1.060.875.397.808,-,5.804.667.223.524,4459858831501.0,283932994215.0,1060875397808.0,,5804667223524.0
Tài sản không phân bổ (**),Tài sản và công nợ > Tài sản không phân bổ (**),Tài sản không phân bổ (**),-,-,-,1.573.859.862.411,1.573.859.862.411,,,,1573859862411.0,1573859862411.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,4.459.858.831.501,283.932.994.215,1.060.875.397.808,1.573.859.862.411,7.378.527.085.935,4459858831501.0,283932994215.0,1060875397808.0,1573859862411.0,7378527085935.0
Công nợ bộ phận,Tài sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,806.465.027.100,93.924.228.032,205.143.528.920,-,1.105.532.784.052,806465027100.0,93924228032.0,205143528920.0,,1105532784052.0
Công nợ không phân bổ (***),Tài sản và công nợ > Công nợ không phân bổ (***),Công nợ không phân bổ (***),-,-,-,2.652.050.930.891,2.652.050.930.891,,,,2652050930891.0,2652050930891.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,806.465.027.100,93.924.228.032,205.143.528.920,2.652.050.930.891,3.757.583.714.943,806465027100.0,93924228032.0,205143528920.0,2652050930891.0,3757583714943.0
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,
Chi phí hình thành tài sản cố định,Các thông tin bộ phận khác > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,-,-,6.545.200.000,358.516.819,6.903.716.819,,,6545200000.0,358516819.0,6903716819.0
Tài sản cố định hữu hình,Các thông tin bộ phận khác > Tài sản cố định hữu hình,Tài sản cố định hữu hình,-,-,-,128.906.601.912,128.906.601.912,,,,128906601912.0,128906601912.0
Khẩu hao,Các thông tin bộ phận khác > Khẩu hao,Khẩu hao,-,-,23.758.210.355,8.163.510.686,31.921.721.041,,,23758210355.0,8163510686.0,31921721041.0
