row_label_raw,row_label_full,Bên liên quan > Phải trả ngắn hạn khác(Thuyết minh số 23),Mối quan hệ > Phải trả ngắn hạn khác(Thuyết minh số 23),Nội dung nghiệp vụ > Phải trả ngắn hạn khác(Thuyết minh số 23),Số cuối năm > Phải trả ngắn hạn khác(Thuyết minh số 23),Đơn vị tính: VND > Số đầu năm,numeric__Mối quan hệ > Phải trả ngắn hạn khác(Thuyết minh số 23),numeric__Nội dung nghiệp vụ > Phải trả ngắn hạn khác(Thuyết minh số 23),numeric__Số cuối năm > Phải trả ngắn hạn khác(Thuyết minh số 23),numeric__Đơn vị tính: VND > Số đầu năm
Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty liên quan của thành viên HĐQT,"Thu hộ, chi hộ phí dịch vụ",1.288.042.384,490.060.919,,,1288042384.0,490060919.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.288.042.384,490.060.919,,,1288042384.0,490060919.0
Phải trả dài hạn khác(Thuyết minh số 23),Phải trả dài hạn khác(Thuyết minh số 23),Phải trả dài hạn khác(Thuyết minh số 23),Phải trả dài hạn khác(Thuyết minh số 23),Phải trả dài hạn khác(Thuyết minh số 23),Phải trả dài hạn khác(Thuyết minh số 23),Phải trả dài hạn khác(Thuyết minh số 23),,,,
Công ty Hải Phát Thủ Đô,Phải trả dài hạn khác(Thuyết minh số 23) > Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty liên quan của thành viên HĐQT,Phải trả tiền nhận đặt cọc,-,202.200.220.000,,,,202200220000.0
TỔNG CỘNG,Phải trả dài hạn khác(Thuyết minh số 23) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,-,202.200.220.000,,,,202200220000.0
Chi tiết các khoản đi vay ngắn hạn tại ngày 31 tháng 12 năm 2020:(Thuyết minh số 24),Chi tiết các khoản đi vay ngắn hạn tại ngày 31 tháng 12 năm 2020:(Thuyết minh số 24),Chi tiết các khoản đi vay ngắn hạn tại ngày 31 tháng 12 năm 2020:(Thuyết minh số 24),Chi tiết các khoản đi vay ngắn hạn tại ngày 31 tháng 12 năm 2020:(Thuyết minh số 24),Chi tiết các khoản đi vay ngắn hạn tại ngày 31 tháng 12 năm 2020:(Thuyết minh số 24),Chi tiết các khoản đi vay ngắn hạn tại ngày 31 tháng 12 năm 2020:(Thuyết minh số 24),Chi tiết các khoản đi vay ngắn hạn tại ngày 31 tháng 12 năm 2020:(Thuyết minh số 24),,,,
