row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Đơn vị tính: VND > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: VND > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1)
Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty liên quan của thành viên HĐQT,Phải thu từ hoạt động môi giới,19.543.221.938,4.669.613.782,,,19543221938.0,4669613782.0
Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty liên quan của thành viên HĐQT,Phải thu phí dịch vụ quản lý toàn nhà,2.778.150.288,5.921.136.821,,,2778150288.0,5921136821.0
Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty liên quan của thành viên HĐQT,Phải thu từ hoạt động cho thuê,6.811.815.617,1.337.331.520,,,6811815617.0,1337331520.0
Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty liên quan của thành viên HĐQT,"Phải thu tiền điện nước, phí gửi xe",24.081.934,-,,,24081934.0,
Công ty Cổ phần Đầu tư An Thịnh,Công ty Cổ phần Đầu tư An Thịnh,Công ty Cổ phần Đầu tư An Thịnh,Công ty liên quan của thành viên HĐQT của công ty con đến ngày 17 tháng 4 năm 2020,Phải thu về chuyển nhượng cổ phần,-,100.000.000.000,,,,100000000000.0
Công ty HP Land,Công ty HP Land,Công ty HP Land,Công ty có chung thành viên quản lý chủ chốt với công ty con,Phải thu từ hoạt động môi giới,5.191.798.732,34.767.768.670,,,5191798732.0,34767768670.0
Công ty HP Land,Công ty HP Land,Công ty HP Land,Công ty có chung thành viên quản lý chủ chốt với công ty con,Phải thu từ hoạt động cho thuê,-,18.495.175.703,,,,18495175703.0
Công ty HP Land,Công ty HP Land,Công ty HP Land,Công ty có chung thành viên quản lý chủ chốt với công ty con,Phải thu từ chuyển nhượng bất động sản,-,12.169.023.043,,,,12169023043.0
Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty liên quan của thành viên HĐQT,Phải thu dịch vụ môi giới,3.320.934.537,270.000.000,,,3320934537.0,270000000.0
Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty liên quan của thành viên HĐQT,Phải thu từ hoạt động cho thuê,-,288.582.462,,,,288582462.0
Công ty TNHH Một thành viên Bea Leasing,Công ty TNHH Một thành viên Bea Leasing,Công ty TNHH Một thành viên Bea Leasing,Công ty có chung thành viên quản lý chủ chốt đến ngày 16 tháng 4 năm 2020,Phải thu từ chuyển nhượng bất động sản,-,4.731.956.266,,,,4731956266.0
Các công ty khác,Các công ty khác,Các công ty khác,Bên liên quan,Phải thu từ cung cấp dịch vụ,578.134.158,441.943.154,,,578134158.0,441943154.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,38.248.137.204,183.092.531.421,,,38248137204.0,183092531421.0
