row_label_raw,row_label_full,Bên cho vay > Ngân hàng TMCP Quân độiMBBank – Chi nhánhThăng LongTrong đó:Vay dài hạn đến hạn trả,Số cuối năm(VND) > 158.828.761.600,Kỳ hạn trả gốc và lãi > Kỳ hạn vay cho khế ước nhậnợ là 12 tháng với khế ước nhận nợ cuối cùng đáo hạnvào ngày 16 tháng 12 năm2025. Lãi vay trả 3 tháng/lần.,"Lãi suất > Lãi suất tại ngày giải ngân là 10,4%/năm, lãi suất thảnồi, được điều chỉnh 3 tháng/lần. Lãi suất được xácđịnh bằng lãi suất các khoản vay của khách hàng DNvừa và nhỏ với các khoản vay trên 12 tháng doMBBank công bố cộng với biển độ 3,9%/năm.",Tài sảnđăm bảo > (viii),numeric__Số cuối năm(VND) > 158.828.761.600,numeric__Kỳ hạn trả gốc và lãi > Kỳ hạn vay cho khế ước nhậnợ là 12 tháng với khế ước nhận nợ cuối cùng đáo hạnvào ngày 16 tháng 12 năm2025. Lãi vay trả 3 tháng/lần.,"numeric__Lãi suất > Lãi suất tại ngày giải ngân là 10,4%/năm, lãi suất thảnồi, được điều chỉnh 3 tháng/lần. Lãi suất được xácđịnh bằng lãi suất các khoản vay của khách hàng DNvừa và nhỏ với các khoản vay trên 12 tháng doMBBank công bố cộng với biển độ 3,9%/năm.",numeric__Tài sảnđăm bảo > (viii)
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,327.365.301.247,,,,327365301247.0,,,
Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,273.043.137.86554.322.163.382,,,,2.730431378655432e+22,,,
