row_label_raw,row_label_full,Công ty Cổ phần Đầu tư Xây dựng Samcons Việt Nam,Số cuối năm > 14.555.795.307,Đơn vị tính: VND Số đầu năm > 23.251.747.615,numeric__Số cuối năm > 14.555.795.307,numeric__Đơn vị tính: VND Số đầu năm > 23.251.747.615
Công ty Cổ phần Đầu tư Xây dựng Công nghiệp Thiên An,Công ty Cổ phần Đầu tư Xây dựng Công nghiệp Thiên An,Công ty Cổ phần Đầu tư Xây dựng Công nghiệp Thiên An,1.856.218.744,16.031.001.600,1856218744.0,16031001600.0
Trả trước cho các đối tượng khác ngắn hạn,Trả trước cho các đối tượng khác ngắn hạn,Trả trước cho các đối tượng khác ngắn hạn,24.057.468.231,54.444.540.175,24057468231.0,54444540175.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,40.469.482.282,93.727.289.390,40469482282.0,93727289390.0
Dự phòng phải thu khó đòi (Thuyết minh số 10),Dự phòng phải thu khó đòi (Thuyết minh số 10),Dự phòng phải thu khó đòi (Thuyết minh số 10),(8.494.680.001),-,-8494680001.0,
