row_label_raw,row_label_full,Cổ tức đã công bố và đã trả trong năm > Cổ tức trên cổ phiếu phổ thông > Cổ tức trả bằng cổ phiếu cho năm 2018: 29.999.201 cổ phiếu/199.996.305 cổ phiếu hiện hữu (2017: 0 cổ phiếu/199.996.305 cổ phiếu hiện hữu) > Cổ tức trả bằng cổ phiếu cho năm 2019: 34.499.076 cổ phiếu/229.995.506 cổ phiếu hiện hữu (2018: 29.999.201 cổ phiếu/199.996.305 cổ phiếu hiện hữu),Năm nay > 644.982.770.000 > 299.992.010.000,Đơn vị tính: VND > Năm trước > -,numeric__Năm nay > 644.982.770.000 > 299.992.010.000,numeric__Đơn vị tính: VND > Năm trước > -
Cổ tức trên cổ phiếu ưu đãi,Cổ tức trên cổ phiếu ưu đãi,Cổ tức trên cổ phiếu ưu đãi,344.990.760.000,-,344990760000.0,
,,,-,-,,
Cổ tức đã công bố sau ngày kết thúc kỳ kế toán và chưa được ghi nhận là nợ phải trả vào ngày 31 tháng 12 năm 2020,Cổ tức đã công bố sau ngày kết thúc kỳ kế toán và chưa được ghi nhận là nợ phải trả vào ngày 31 tháng 12 năm 2020,Cổ tức đã công bố sau ngày kết thúc kỳ kế toán và chưa được ghi nhận là nợ phải trả vào ngày 31 tháng 12 năm 2020,,,,
Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,-,-,,
Cổ tức trên cổ phiếu ưu đãi,Cổ tức trên cổ phiếu ưu đãi,Cổ tức trên cổ phiếu ưu đãi,-,-,,
,,,-,-,,
