row_label_raw,row_label_full,col_0,Ciento 5,Cộng ty Đại Đông Á,Cộng ty TNHH BT Hà Đông,Tổng cộng,numeric__Ciento 5,numeric__Cộng ty Đại Đông Á,numeric__Cộng ty TNHH BT Hà Đông,numeric__Tổng cộng
Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,,,,
Số đầu năm,Giá trị đầu tư: > Số đầu năm,Số đầu năm,300.245.220.000,55.750.000.000,46.076.278.930,402.071.498.930,300245220000.0,55750000000.0,46076278930.0,402071498930.0
Tăng do góp vốn,Giá trị đầu tư: > Tăng do góp vốn,Tăng do góp vốn,-,-,5.826.607.167,5.826.607.167,,,5826607167.0,5826607167.0
Giảm do chuyển nhượng,Giá trị đầu tư: > Giảm do chuyển nhượng,Giảm do chuyển nhượng,(300.245.220.000),(55.750.000.000),-,(355.995.220.000),-300245220000.0,-55750000000.0,,-355995220000.0
Số cuối năm,Giá trị đầu tư: > Số cuối năm,Số cuối năm,-,-,51.902.886.097,51.902.886.097,,,51902886097.0,51902886097.0
"Phần lãi/lỗ) lũy kế sau khi mua công ty liên doanh, liên kết:","Phần lãi/lỗ) lũy kế sau khi mua công ty liên doanh, liên kết:","Phần lãi/lỗ) lũy kế sau khi mua công ty liên doanh, liên kết:","Phần lãi/lỗ) lũy kế sau khi mua công ty liên doanh, liên kết:","Phần lãi/lỗ) lũy kế sau khi mua công ty liên doanh, liên kết:","Phần lãi/lỗ) lũy kế sau khi mua công ty liên doanh, liên kết:","Phần lãi/lỗ) lũy kế sau khi mua công ty liên doanh, liên kết:",,,,
Số đầu năm,"Phần lãi/lỗ) lũy kế sau khi mua công ty liên doanh, liên kết: > Số đầu năm",Số đầu năm,3.845.513.605,(1.875.005.102),-,1.970.508.503,3845513605.0,-1875005102.0,,1970508503.0
Lỗ trong năm,"Phần lãi/lỗ) lũy kế sau khi mua công ty liên doanh, liên kết: > Lỗ trong năm",Lỗ trong năm,-,(889.206.465),-,(889.206.465),,-889206465.0,,-889206465.0
Giảm do chuyển nhượng,"Phần lãi/lỗ) lũy kế sau khi mua công ty liên doanh, liên kết: > Giảm do chuyển nhượng",Giảm do chuyển nhượng,(3.845.513.605),2.764.211.567,-,(1.081.302.038),-3845513605.0,2764211567.0,,-1081302038.0
Số cuối năm,Số cuối năm,Số cuối năm,-,-,-,-,,,,
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,304.090.733.605,53.874.994.898,46.076.278.930,404.042.007.433,304090733605.0,53874994898.0,46076278930.0,404042007433.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,-,-,51.902.886.097,51.902.886.097,,,51902886097.0,51902886097.0
