row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước(Trình bày lại),numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước(Trình bày lại)
Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,92.293.322.388,446.702.265.689,92293322388.0,446702265689.0
Điều chỉnh giảm do trích thủ lao HĐQT (*),Điều chỉnh giảm do trích thủ lao HĐQT (*),Điều chỉnh giảm do trích thủ lao HĐQT (*),(6.398.285.575),(6.936.669.723),-6398285575.0,-6936669723.0
Điều chỉnh giảm do trích quỹ phúc lợi (*),Điều chỉnh giảm do trích quỹ phúc lợi (*),Điều chỉnh giảm do trích quỹ phúc lợi (*),-,(19.748.623.225),,-19748623225.0
Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông sau khi đã điều chỉnh cho các yếu tố suy giảm,Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông sau khi đã điều chỉnh cho các yếu tố suy giảm,Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông sau khi đã điều chỉnh cho các yếu tố suy giảm,85.895.036.813,420.016.972.741,85895036813.0,420016972741.0
Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi cơ bản trên cổ phiếu,Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi cơ bản trên cổ phiếu,Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi cơ bản trên cổ phiếu,264.494.582,199.996.305,264494582.0,199996305.0
Ảnh hưởng của cổ tức bằng cổ phiếu phát hành trong năm 2020 (**),Ảnh hưởng của cổ tức bằng cổ phiếu phát hành trong năm 2020 (**),Ảnh hưởng của cổ tức bằng cổ phiếu phát hành trong năm 2020 (**),-,64.498.277,,64498277.0
"Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi cơ bản trên cổ phiếu, sau điều chỉnh","Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi cơ bản trên cổ phiếu, sau điều chỉnh","Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi cơ bản trên cổ phiếu, sau điều chỉnh",264.494.582,264.494.582,264494582.0,264494582.0
Ảnh hưởng suy giảm,Ảnh hưởng suy giảm,Ảnh hưởng suy giảm,-,-,,
Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) đã điều chỉnh cho các yếu tố suy giảm.,Ảnh hưởng suy giảm > Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) đã điều chỉnh cho các yếu tố suy giảm.,Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) đã điều chỉnh cho các yếu tố suy giảm.,264.494.582,264.494.582,264494582.0,264494582.0
Lãi cơ bản trên cổ phiếu,Ảnh hưởng suy giảm > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,325,1.588,325.0,1588.0
Lãi suy giảm trên cổ phiếu,Ảnh hưởng suy giảm > Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,325,1.588,325.0,1588.0
