row_label_raw,row_label_full,col_0,Don vị tính: VND,Don vị tính: VND_1,numeric__Don vị tính: VND,numeric__Don vị tính: VND_1
,,,Năm nay,Năm trước,,
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,,,
- Chi phí hoa hồng môi giới,Chi phí bán hàng > - Chi phí hoa hồng môi giới,- Chi phí hoa hồng môi giới,15.858.796.163,76.421.388.287,15858796163.0,76421388287.0
- Chi phí dịch vụ mua ngoài,Chi phí bán hàng > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,4.639.534.028,-,4639534028.0,
- Chi phí nhân viên,Chi phí bán hàng > - Chi phí nhân viên,- Chi phí nhân viên,4.243.326.169,3.573.245.550,4243326169.0,3573245550.0
"- Chi phí quảng cáo, khuyến mãi","Chi phí bán hàng > - Chi phí quảng cáo, khuyến mãi","- Chi phí quảng cáo, khuyến mãi",1.141.617.338,4.470.164.088,1141617338.0,4470164088.0
- Chi phí bán hàng khác,Chi phí bán hàng > - Chi phí bán hàng khác,- Chi phí bán hàng khác,58.948.050,104.984.238,58948050.0,104984238.0
,,,25.942.221.748,84.569.782.163,25942221748.0,84569782163.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,
- Chi phí nhân viên,Chi phí quản lý doanh nghiệp > - Chi phí nhân viên,- Chi phí nhân viên,55.305.745.340,58.556.834.215,55305745340.0,58556834215.0
- Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,37.684.465.450,33.286.111.595,37684465450.0,33286111595.0
- Trích lập dự phòng,Chi phí quản lý doanh nghiệp > - Trích lập dự phòng,- Trích lập dự phòng,9.076.033.942,30.000.000.000,9076033942.0,30000000000.0
- Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > - Chi phí quản lý doanh nghiệp khác,- Chi phí quản lý doanh nghiệp khác,15.707.054.620,22.730.044.459,15707054620.0,22730044459.0
,,,117.773.299.352,144.572.990.269,117773299352.0,144572990269.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,143.715.521.100,229.142.772.432,143715521100.0,229142772432.0
