row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND,numeric__Năm nay,numeric__Đơn vị tính: VND
Tổng lợi nhuận kế toán trước thuế:,Tổng lợi nhuận kế toán trước thuế:,Tổng lợi nhuận kế toán trước thuế:,144.665.647.010,632.518.669.714,144665647010.0,632518669714.0
Thuế TNDN theo thuế suất áp dụng cho Nhóm Công ty Ảnh hưởng của các điều chỉnh:,Thuế TNDN theo thuế suất áp dụng cho Nhóm Công ty Ảnh hưởng của các điều chỉnh:,Thuế TNDN theo thuế suất áp dụng cho Nhóm Công ty Ảnh hưởng của các điều chỉnh:,28.933.129.402,126.503.733.943,28933129402.0,126503733943.0
Chi phí phát triển đất và xây dựng không được khấu trừ,Chi phí phát triển đất và xây dựng không được khấu trừ,Chi phí phát triển đất và xây dựng không được khấu trừ,16.653.402.261,49.588.005.355,16653402261.0,49588005355.0
Ảnh hưởng Nghị định 132/2020/NĐ-CP,Ảnh hưởng Nghị định 132/2020/NĐ-CP,Ảnh hưởng Nghị định 132/2020/NĐ-CP,2.591.567.116,-,2591567116.0,
Các khoản phạt,Các khoản phạt,Các khoản phạt,1.869.244.276,574.397.643,1869244276.0,574397643.0
Thuế TNDN trích thiếu năm 2019,Thuế TNDN trích thiếu năm 2019,Thuế TNDN trích thiếu năm 2019,1.286.695.438,-,1286695438.0,
Chi phí khấu hao không được trừ,Chi phí khấu hao không được trừ,Chi phí khấu hao không được trừ,306.904.265,496.389.778,306904265.0,496389778.0
"Ảnh hưởng các giao dịch mua bán, chuyển nhượng cổ phần trên báo cáo tài chính hợp nhất","Ảnh hưởng các giao dịch mua bán, chuyển nhượng cổ phần trên báo cáo tài chính hợp nhất","Ảnh hưởng các giao dịch mua bán, chuyển nhượng cổ phần trên báo cáo tài chính hợp nhất",216.260.408,(991.334.374),216260408.0,-991334374.0
Phần lỗ/(lãi) trong các công ty liên kết,Phần lỗ/(lãi) trong các công ty liên kết,Phần lỗ/(lãi) trong các công ty liên kết,177.841.293,(200.840.392),177841293.0,-200840392.0
Chi phí không được khấu trừ khác,Chi phí không được khấu trừ khác,Chi phí không được khấu trừ khác,4.926.227,132.779.577,4926227.0,132779577.0
Lợi nhuận năm nay đã được tính thuế từ năm trước,Lợi nhuận năm nay đã được tính thuế từ năm trước,Lợi nhuận năm nay đã được tính thuế từ năm trước,(2.853.712.794),-,-2853712794.0,
Ảnh hưởng của các mức thuế suất khác nhau,Ảnh hưởng của các mức thuế suất khác nhau,Ảnh hưởng của các mức thuế suất khác nhau,(1.397.068.586),3.214.843.939,-1397068586.0,3214843939.0
Thuế TNDN được giảm (*),Thuế TNDN được giảm (*),Thuế TNDN được giảm (*),(541.180.045),-,-541180045.0,
Lỗ của các công ty con chưa được ghi nhận là tài sản thuế hoãn lại,Lỗ của các công ty con chưa được ghi nhận là tài sản thuế hoãn lại,Lỗ của các công ty con chưa được ghi nhận là tài sản thuế hoãn lại,(193.841.462),233.436.513,-193841462.0,233436513.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,47.054.167.799,179.551.411.982,47054167799.0,179551411982.0
