row_label_raw,row_label_full,col_0,Don vị tính: VND,Don vị tính: VND_1,numeric__Don vị tính: VND,numeric__Don vị tính: VND_1
,,,Năm nay,Năm trước,,
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Lãi từ giao dịch mua giá rè,Thu nhập khác > Lãi từ giao dịch mua giá rè,Lãi từ giao dịch mua giá rè,29.262.106.318,8.251.284.731,29262106318.0,8251284731.0
"Tiền được bởi thường, phạt vi phạm hợp đồng","Thu nhập khác > Tiền được bởi thường, phạt vi phạm hợp đồng","Tiền được bởi thường, phạt vi phạm hợp đồng",-,4.477.168.004,,4477168004.0
Thu nhập tạm thời từ cho thuê căn hộ,Thu nhập khác > Thu nhập tạm thời từ cho thuê căn hộ,Thu nhập tạm thời từ cho thuê căn hộ,3.875.272.189,2.164.715.768,3875272189.0,2164715768.0
Thu nhập từ các khoản công nợ,Thu nhập khác > Thu nhập từ các khoản công nợ,Thu nhập từ các khoản công nợ,15.606.589.635,1.156.497.660,15606589635.0,1156497660.0
Thu nhập,Thu nhập khác > Thu nhập,Thu nhập,9.327.805.985,-,9327805985.0,
Thu nhập,Thu nhập khác > Thu nhập,Thu nhập,452.438.509,452.903.299,452438509.0,452903299.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Tiền chậm nộp thuế,Chi phí khác > Tiền chậm nộp thuế,Tiền chậm nộp thuế,12.740.508.007,4.063.341.564,12740508007.0,4063341564.0
Phạt thanh lý hợp đồng,Chi phí khác > Phạt thanh lý hợp đồng,Phạt thanh lý hợp đồng,9.232.987.063,2.735.147.773,9232987063.0,2735147773.0
Chi phí khác,Chi phí khác > Chi phí khác,Chi phí khác,1.819.143.978,-,1819143978.0,
LỘI NHUẬN KHÁC THUẦN,Chi phí khác > LỘI NHUẬN KHÁC THUẦN,LỘI NHUẬN KHÁC THUẦN,1.688.376.966,1.328.193.791,1688376966.0,1328193791.0
,,,16.521.598.311,4.187.943.167,16521598311.0,4187943167.0
