row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,Đơn vị tính: VND,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Đơn vị tính: VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
"Số đầu năm- Mua trong năm- Thanh lý, nhượng bán- Phân loại từ bất động sản đầu tư(Thuyết minh số 15)","Số đầu năm- Mua trong năm- Thanh lý, nhượng bán- Phân loại từ bất động sản đầu tư(Thuyết minh số 15)","Số đầu năm- Mua trong năm- Thanh lý, nhượng bán- Phân loại từ bất động sản đầu tư(Thuyết minh số 15)",102.240.660.788-,16.752.799.958231.763.637-,19.915.386.011- (3.070.978.182),3.441.517.010126.753.182(995.904.232),142.350.363.767358.516.819(4.066.882.414),,,,,
"Số đầu năm- Mua trong năm- Thanh lý, nhượng bán- Phân loại từ bất động sản đầu tư(Thuyết minh số 15)","Số đầu năm- Mua trong năm- Thanh lý, nhượng bán- Phân loại từ bất động sản đầu tư(Thuyết minh số 15) > Số đầu năm- Mua trong năm- Thanh lý, nhượng bán- Phân loại từ bất động sản đầu tư(Thuyết minh số 15)","Số đầu năm- Mua trong năm- Thanh lý, nhượng bán- Phân loại từ bất động sản đầu tư(Thuyết minh số 15)",13.198.198.377,2.152.016.104,-,-,15.350.214.481,13198198377.0,2152016104.0,,,15350214481.0
Số cuối năm,"Số đầu năm- Mua trong năm- Thanh lý, nhượng bán- Phân loại từ bất động sản đầu tư(Thuyết minh số 15) > Số cuối năm",Số cuối năm,115.438.859.165,19.136.579.699,16.844.407.829,2.572.365.960,153.992.212.653,115438859165.0,19136579699.0,16844407829.0,2572365960.0,153992212653.0
Trong đó:Dã khấu hao hết,"Số đầu năm- Mua trong năm- Thanh lý, nhượng bán- Phân loại từ bất động sản đầu tư(Thuyết minh số 15) > Trong đó:Dã khấu hao hết",Trong đó:Dã khấu hao hết,-,469.918.182,-,488.191.828,958.110.010,,469918182.0,,488191828.0,958110010.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
"Số đầu năm- Khấu hao trong năm- Thanh lý, nhượng bán- Phân loại từ bất động sản đầu tư(Thuyết minh số 15)","Số đầu năm- Khấu hao trong năm- Thanh lý, nhượng bán- Phân loại từ bất động sản đầu tư(Thuyết minh số 15)","Số đầu năm- Khấu hao trong năm- Thanh lý, nhượng bán- Phân loại từ bất động sản đầu tư(Thuyết minh số 15)",(4.318.226.686)(3.473.151.066)-,(2.112.893.237)(1.426.034.690)-,(10.951.393.282)(2.630.484.408)3.070.978.183,(2.084.038.384)(633.840.522)995.904.232,(19.466.551.589)(8.163.510.686)4.066.882.415,,,,,
"Số đầu năm- Khấu hao trong năm- Thanh lý, nhượng bán- Phân loại từ bất động sản đầu tư(Thuyết minh số 15)","Số đầu năm- Khấu hao trong năm- Thanh lý, nhượng bán- Phân loại từ bất động sản đầu tư(Thuyết minh số 15) > Số đầu năm- Khấu hao trong năm- Thanh lý, nhượng bán- Phân loại từ bất động sản đầu tư(Thuyết minh số 15)","Số đầu năm- Khấu hao trong năm- Thanh lý, nhượng bán- Phân loại từ bất động sản đầu tư(Thuyết minh số 15)",(1.032.682.864),(489.748.017),-,-,(1.522.430.881),-1032682864.0,-489748017.0,,,-1522430881.0
Số cuối năm,"Số đầu năm- Khấu hao trong năm- Thanh lý, nhượng bán- Phân loại từ bất động sản đầu tư(Thuyết minh số 15) > Số cuối năm",Số cuối năm,(8.824.060.616),(4.028.675.944),(10.510.899.507),(1.721.974.674),(25.085.610.741),-8824060616.0,-4028675944.0,-10510899507.0,-1721974674.0,-25085610741.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,97.922.434.102,14.639.906.721,8.963.992.729,1.357.478.626,122.883.812.178,97922434102.0,14639906721.0,8963992729.0,1357478626.0,122883812178.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,106.614.798.549,15.107.903.755,6.333.508.322,850.391.286,128.906.601.912,106614798549.0,15107903755.0,6333508322.0,850391286.0,128906601912.0
Trong đó:Tài sản sử dụng để thế chấp (*),Giá trị còn lại: > Trong đó:Tài sản sử dụng để thế chấp (*),Trong đó:Tài sản sử dụng để thế chấp (*),-,-,726.665.989,-,726.665.989,,,726665989.0,,726665989.0
