row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Quỹ bảo trì căn hộ (i),Ngắn hạn > Quỹ bảo trì căn hộ (i),Quỹ bảo trì căn hộ (i),67.998.246.879,76.150.812.973,67998246879.0,76150812973.0
Thu chi hộ,Ngắn hạn > Thu chi hộ,Thu chi hộ,31.512.076.223,30.328.275.000,31512076223.0,30328275000.0
Phải trả theo hợp đồng hợp tác kinh doanh,Ngắn hạn > Phải trả theo hợp đồng hợp tác kinh doanh,Phải trả theo hợp đồng hợp tác kinh doanh,16.842.956.202,-,16842956202.0,
"Tiền thu từ các hợp đồng đặt cọc, vay vốn và hợp đồng khác liên quan đến các dự án bất động sản","Ngắn hạn > Tiền thu từ các hợp đồng đặt cọc, vay vốn và hợp đồng khác liên quan đến các dự án bất động sản","Tiền thu từ các hợp đồng đặt cọc, vay vốn và hợp đồng khác liên quan đến các dự án bất động sản",15.556.933.875,9.895.443.166,15556933875.0,9895443166.0
Các khoản phải trả ngắn hạn khác,Ngắn hạn > Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,14.519.761.111,38.067.611.144,14519761111.0,38067611144.0
,,,146.429.974.290,154.442.142.283,146429974290.0,154442142283.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn các bên khác,Trong đó: > Phải trả ngắn hạn các bên khác,Phải trả ngắn hạn các bên khác,145.141.931.906,153.952.081.364,145141931906.0,153952081364.0
Phải trả ngắn hạn cho các bên liên quan(Thuyết minh số 35),Trong đó: > Phải trả ngắn hạn cho các bên liên quan(Thuyết minh số 35),Phải trả ngắn hạn cho các bên liên quan(Thuyết minh số 35),1.288.042.384,490.060.919,1288042384.0,490060919.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải trả theo hợp đồng ủy thác đầu tư (ii),Dài hạn > Phải trả theo hợp đồng ủy thác đầu tư (ii),Phải trả theo hợp đồng ủy thác đầu tư (ii),-,202.200.220.000,,202200220000.0
Nhận tiền cọc từ hợp đồng cho thuê dài hạn (iii),Dài hạn > Nhận tiền cọc từ hợp đồng cho thuê dài hạn (iii),Nhận tiền cọc từ hợp đồng cho thuê dài hạn (iii),178.199.761.578,149.275.754.677,178199761578.0,149275754677.0
Phải trả theo các hợp đồng hợp tác kinh doanh,Dài hạn > Phải trả theo các hợp đồng hợp tác kinh doanh,Phải trả theo các hợp đồng hợp tác kinh doanh,45.242.848.602,40.358.600.000,45242848602.0,40358600000.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,223.442.610.180,391.834.574.677,223442610180.0,391834574677.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả dài hạn các bên khác,Trong đó: > Phải trả dài hạn các bên khác,Phải trả dài hạn các bên khác,223.442.610.180,189.634.354.677,223442610180.0,189634354677.0
Phải trả dài hạn cho các bên liên quan(Thuyết minh số 35),Trong đó: > Phải trả dài hạn cho các bên liên quan(Thuyết minh số 35),Phải trả dài hạn cho các bên liên quan(Thuyết minh số 35),-,202.200.220.000,,202200220000.0
