row_label_raw,row_label_full,Số đầu năm,Năm nay > Số đầu năm,Đơn vị tính: VND > Năm trước > Số đầu năm,numeric__Năm nay > Số đầu năm,numeric__Đơn vị tính: VND > Năm trước > Số đầu năm
Tăng do mua công ty con,Tăng do mua công ty con,Tăng do mua công ty con,38.062.327.941,14.211.057.001,38062327941.0,14211057001.0
Tăng do thành lập công ty con,Tăng do thành lập công ty con,Tăng do thành lập công ty con,-,1.797.335.898,,1797335898.0
Giảm do tăng tỷ lệ sở hữu trong công ty con,Giảm do tăng tỷ lệ sở hữu trong công ty con,Giảm do tăng tỷ lệ sở hữu trong công ty con,-,30.000.000.000,,30000000000.0
Tăng do chuyển nhượng công ty con không mất quyền kiểm soát,Tăng do chuyển nhượng công ty con không mất quyền kiểm soát,Tăng do chuyển nhượng công ty con không mất quyền kiểm soát,(7.155.690.655),(14.211.057.001),-7155690655.0,-14211057001.0
Trích quỹ và thủ lao HĐQT,Trích quỹ và thủ lao HĐQT,Trích quỹ và thủ lao HĐQT,369.425.385.192,-,369425385192.0,
Cổ tức được chia,Cổ tức được chia,Cổ tức được chia,(258.315.648),-,-258315648.0,
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,(7.391.433.189),-,-7391433189.0,
,,,5.318.156.823,6.264.992.043,5318156823.0,6264992043.0
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,
,,,398.000.430.464,38.062.327.941,398000430464.0,38062327941.0
