row_label_raw,row_label_full,Ngắn hạn,Đơn vị tính: VND > Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Cho vay ngắn hạn các bên khác (*),Cho vay ngắn hạn các bên khác (*),Cho vay ngắn hạn các bên khác (*),68.400.000.000,17.000.000.000,68400000000.0,17000000000.0
Cho vay ngắn hạn các bên liên quan(Thuyết minh số 35),Cho vay ngắn hạn các bên liên quan(Thuyết minh số 35),Cho vay ngắn hạn các bên liên quan(Thuyết minh số 35),179.300.000.000,8.000.000.000,179300000000.0,8000000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,247.700.000.000,25.000.000.000,247700000000.0,25000000000.0
