row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: VND Số cuối năm > Giá trị,Đơn vị tính: VND Số cuối năm > Số có khả năng trả nợ,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND Số cuối năm > Giá trị,numeric__Đơn vị tính: VND Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,,
Vay ngân hàng,Vay ngắn hạn > Vay ngân hàng,Vay ngân hàng,24.1,183.570.992.059,183.570.992.059,357.247.934.630,257.475.811.663,283.343.115.026,283.343.115.026,241.0,183570992059.0,183570992059.0,357247934630.0,257475811663.0,283343115026.0,283343115026.0
Vay dài hạn ngân hàng đến hạn trả,Vay ngắn hạn > Vay dài hạn ngân hàng đến hạn trả,Vay dài hạn ngân hàng đến hạn trả,24.1,92.745.768.255,92.745.768.255,51.277.222.271,89.700.827.144,54.322.163.382,54.322.163.382,241.0,92745768255.0,92745768255.0,51277222271.0,89700827144.0,54322163382.0,54322163382.0
Vay cá nhân,Vay ngắn hạn > Vay cá nhân,Vay cá nhân,,-,-,111.773.850.000,111.773.850.000,-,-,,,,111773850000.0,111773850000.0,,
Vay đổi tác doanh nghiệp,Vay ngắn hạn > Vay đổi tác doanh nghiệp,Vay đổi tác doanh nghiệp,24.2,-,-,71.000.000.000,-,71.000.000.000,71.000.000.000,242.0,,,71000000000.0,,71000000000.0,71000000000.0
Vay bên liên quan,Vay ngắn hạn > Vay bên liên quan,Vay bên liên quan,35,-,-,50.000.000.000,-,50.000.000.000,50.000.000.000,35.0,,,50000000000.0,,50000000000.0,50000000000.0
Trái phiếu dài hạn đến hạn trả,Vay ngắn hạn > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,24.3,592.628.666.041,592.628.666.041,1.156.192.874.722,735.316.600.000,1.013.504.940.763,1.013.504.940.763,243.0,592628666041.0,592628666041.0,1156192874722.0,735316600000.0,1013504940763.0,1013504940763.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,868.945.426.355,868.945.426.355,1.797.491.881.623,1.194.267.088.807,1.472.170.219.171,1.472.170.219.171,,868945426355.0,868945426355.0,1797491881623.0,1194267088807.0,1472170219171.0,1472170219171.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,
Vay ngân hàng,Vay dài hạn > Vay ngân hàng,Vay ngân hàng,24.1,45.980.122.221,45.980.122.221,279.950.277.915,52.887.262.271,273.043.137.865,273.043.137.865,241.0,45980122221.0,45980122221.0,279950277915.0,52887262271.0,273043137865.0,273043137865.0
Trái phiếu,Vay dài hạn > Trái phiếu,Trái phiếu,24.3,1.096.719.525.604,1.096.719.525.604,753.918.987.403,1.155.627.554.103,695.010.958.904,695.010.958.904,243.0,1096719525604.0,1096719525604.0,753918987403.0,1155627554103.0,695010958904.0,695010958904.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,1.142.699.647.825,1.142.699.647.825,1.033.869.265.318,1.208.514.816.374,968.054.096.769,968.054.096.769,,1142699647825.0,1142699647825.0,1033869265318.0,1208514816374.0,968054096769.0,968054096769.0
