row_label_raw,row_label_full,Bên liên quan > Công ty Cổ phần Đầu tư An Thịnh,Mối quan hệ > Công ty liên quan của thành viên HDQT của công ty con (đến ngày 17 tháng 4 năm 2020),Nội dung nghiệp vụ > Phải thu về chuyển nhượng cổ phần Đã thu tiền chuyển nhượng cổ phần Phải thu theo hợp đồng hợp tác đầu tư,Đơn vị tính: VND > Năm nay > - > 100.000.000.000 > -,Đơn vị tính: VND > Năm trước > 450.000.000.000 > 350.000.000.000 > 200.000.000.000,numeric__Mối quan hệ > Công ty liên quan của thành viên HDQT của công ty con (đến ngày 17 tháng 4 năm 2020),numeric__Nội dung nghiệp vụ > Phải thu về chuyển nhượng cổ phần Đã thu tiền chuyển nhượng cổ phần Phải thu theo hợp đồng hợp tác đầu tư,numeric__Đơn vị tính: VND > Năm nay > - > 100.000.000.000 > -,numeric__Đơn vị tính: VND > Năm trước > 450.000.000.000 > 350.000.000.000 > 200.000.000.000
Công ty Cổ phần Bất Đông Sản Hải Phát Toàn Cầu,Công ty Cổ phần Bất Đông Sản Hải Phát Toàn Cầu,Công ty Cổ phần Bất Đông Sản Hải Phát Toàn Cầu,Công ty có chung thành viên quản lý chủ chất của công ty con,Phí dịch vụ môi giới phải trả,1.279.915.689,-,,,1279915689.0,
Công ty Cổ phần Bất Đông Sản Hải Phát Toàn Cầu,Công ty Cổ phần Bất Đông Sản Hải Phát Toàn Cầu,Công ty Cổ phần Bất Đông Sản Hải Phát Toàn Cầu,Công ty có chung thành viên quản lý chủ chất của công ty con,Phí dịch vụ môi giới đã trả,2.071.576.632,-,,,2071576632.0,
