row_label_raw,row_label_full,11 TÀI SẢN CÓ ĐỊNH (“TSCĐ”),11 TÀI SẢN CÓ ĐỊNH (“TSCĐ”)_1,11 TÀI SẢN CÓ ĐỊNH (“TSCĐ”)_2,11 TÀI SẢN CÓ ĐỊNH (“TSCĐ”)_3,11 TÀI SẢN CÓ ĐỊNH (“TSCĐ”)_4,11 TÀI SẢN CÓ ĐỊNH (“TSCĐ”)_5,numeric__11 TÀI SẢN CÓ ĐỊNH (“TSCĐ”)_1,numeric__11 TÀI SẢN CÓ ĐỊNH (“TSCĐ”)_2,numeric__11 TÀI SẢN CÓ ĐỊNH (“TSCĐ”)_3,numeric__11 TÀI SẢN CÓ ĐỊNH (“TSCĐ”)_4,numeric__11 TÀI SẢN CÓ ĐỊNH (“TSCĐ”)_5
(a) TSCĐ hữu hình,(a) TSCĐ hữu hình,(a) TSCĐ hữu hình,(a) TSCĐ hữu hình,(a) TSCĐ hữu hình,(a) TSCĐ hữu hình,(a) TSCĐ hữu hình,(a) TSCĐ hữu hình,,,,,
,,,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Thiết bịquản lýVND,Phương tiệnvận tảiVND,Tổng cộngVND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,97.351.565.907,8.769.585.270.206,87.503.894.228,13.261.787.804,8.967.702.518.145,97351565907.0,8769585270206.0,87503894228.0,13261787804.0,8967702518145.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,6.869.545.152,526.516.112.517,6.609.865.656,1.169.950.000,541.165.473.325,6869545152.0,526516112517.0,6609865656.0,1169950000.0,541165473325.0
Chuyển sang từ xây dựng cơ bảnđở dang,Nguyên giá > Chuyển sang từ xây dựng cơ bảnđở dang,Chuyển sang từ xây dựng cơ bảnđở dang,-,1.258.110.091.426,-,-,1.258.110.091.426,,1258110091426.0,,,1258110091426.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(320.478),519.909.702,(519.589.224),-,-,-320478.0,519909702.0,-519589224.0,,
"Thanh lý, xóa sổ","Nguyên giá > Thanh lý, xóa sổ","Thanh lý, xóa sổ",-,(124.736.961.128),(1.738.023.849),(679.714.545),(127.154.699.522),,-124736961128.0,-1738023849.0,-679714545.0,-127154699522.0
Tại ngày 31 tháng 12 năm 2022,Nguyên giá > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,104.220.790.581,10.429.994.422.723,91.856.146.811,13.752.023.259,10.639.823.383.374,104220790581.0,10429994422723.0,91856146811.0,13752023259.0,10639823383374.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,(24.061.981.591),(4.716.299.187.056),(86.602.329.212),(7.465.807.341),(4.834.429.305.200),-24061981591.0,-4716299187056.0,-86602329212.0,-7465807341.0,-4834429305200.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(4.285.903.391),(1.025.940.223.311),(4.016.031.518),(1.591.042.122),(1.035.833.200.342),-4285903391.0,-1025940223311.0,-4016031518.0,-1591042122.0,-1035833200342.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,41.600,(436.952.562),436.910.962,-,-,41600.0,-436952562.0,436910962.0,,
"Thanh lý, xóa sổ","Giá trị khấu hao lũy kế > Thanh lý, xóa sổ","Thanh lý, xóa sổ",-,91.604.121.975,1.668.814.349,679.714.545,93.952.650.869,,91604121975.0,1668814349.0,679714545.0,93952650869.0
Tại ngày 31 tháng 12 năm 2022,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,(28.347.843.382),(5.651.072.240.954),(88.512.635.419),(8.377.134.918),(5.776.309.854.673),-28347843382.0,-5651072240954.0,-88512635419.0,-8377134918.0,-5776309854673.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,73.289.584.316,4.053.286.083.150,901.565.016,5.795.980.463,4.133.273.212.945,73289584316.0,4053286083150.0,901565016.0,5795980463.0,4133273212945.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,75.872.947.199,4.778.922.181.769,3.343.511.392,5.374.888.341,4.863.513.528.701,75872947199.0,4778922181769.0,3343511392.0,5374888341.0,4863513528701.0
