row_label_raw,row_label_full,Công ty TNHH MTV Viễn thông Quốc tế FPT,3.293.280.745.370,6.453.341.663.845,numeric__3.293.280.745.370,numeric__6.453.341.663.845
Công ty TNHH Truyền hình FPT,Công ty TNHH Truyền hình FPT,Công ty TNHH Truyền hình FPT,2.408.900.000.000,-,2408900000000.0,
Công ty TNHH MTV Viễn thông FPT Tân Thuận,Công ty TNHH MTV Viễn thông FPT Tân Thuận,Công ty TNHH MTV Viễn thông FPT Tân Thuận,-,3.780.220.903.784,,3780220903784.0
