row_label_raw,row_label_full,col_0,2022Cổ phiếuphổ thông,2021Cổ phiếuphổ thông,numeric__2022Cổ phiếuphổ thông,numeric__2021Cổ phiếuphổ thông
Số lượng cổ phiếu đã đăng ký,Số lượng cổ phiếu đã đăng ký,Số lượng cổ phiếu đã đăng ký,328.339.538,328.369.553,328339538.0,328369553.0
Số lượng cổ phiếu quỹ,Số lượng cổ phiếu quỹ,Số lượng cổ phiếu quỹ,-,30.015,,30015.0
Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,328.339.538,328.339.538,328339538.0,328339538.0
