row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Giấy phép bản quyền và quyền khai thác VND,Phần mềm vi tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Giấy phép bản quyền và quyền khai thác VND,numeric__Phần mềm vi tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1.1.2022,Nguyên giá > Tại ngày 1.1.2022,Tại ngày 1.1.2022,132.327.252.689,751.983.829.995,126.367.687.698,1.010.678.770.382,132327252689.0,751983829995.0,126367687698.0,1010678770382.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,31.230.898.724,1.943.717.135,50.641.347.327,83.815.963.186,31230898724.0,1943717135.0,50641347327.0,83815963186.0
"Thanh lý, xóa số","Nguyên giá > Thanh lý, xóa số","Thanh lý, xóa số",-,-,(1.358.266.128),(1.358.266.128),,,-1358266128.0,-1358266128.0
Tại ngày 31.12.2022,Nguyên giá > Tại ngày 31.12.2022,Tại ngày 31.12.2022,163.558.151.413,753.927.547.130,175.650.768.897,1.093.136.467.440,163558151413.0,753927547130.0,175650768897.0,1093136467440.0
Giá trị khẩu hao lũy kế,Giá trị khẩu hao lũy kế,Giá trị khẩu hao lũy kế,Giá trị khẩu hao lũy kế,Giá trị khẩu hao lũy kế,Giá trị khẩu hao lũy kế,Giá trị khẩu hao lũy kế,,,,
Tại ngày 1.1.2022,Giá trị khẩu hao lũy kế > Tại ngày 1.1.2022,Tại ngày 1.1.2022,-,(323.532.470.434),(75.202.678.865),(398.735.149.299),,-323532470434.0,-75202678865.0,-398735149299.0
Khấu hao trong năm,Giá trị khẩu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(53.061.449.800),(27.614.872.994),(80.676.322.794),,-53061449800.0,-27614872994.0,-80676322794.0
"Thanh lý, xóa số","Giá trị khẩu hao lũy kế > Thanh lý, xóa số","Thanh lý, xóa số",-,-,1.358.266.128,1.358.266.128,,,1358266128.0,1358266128.0
Tại ngày 31.12.2022,Giá trị khẩu hao lũy kế > Tại ngày 31.12.2022,Tại ngày 31.12.2022,-,(376.593.920.234),(101.459.285.731),(478.053.205.965),,-376593920234.0,-101459285731.0,-478053205965.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1.1.2022,Giá trị còn lại > Tại ngày 1.1.2022,Tại ngày 1.1.2022,132.327.252.689,428.451.359.561,51.165.008.833,611.943.621.083,132327252689.0,428451359561.0,51165008833.0,611943621083.0
Tại ngày 31.12.2022,Giá trị còn lại > Tại ngày 31.12.2022,Tại ngày 31.12.2022,163.558.151.413,377.333.626.896,74.191.483.166,615.083.261.475,163558151413.0,377333626896.0,74191483166.0,615083261475.0
