row_label_raw,row_label_full,01,Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:,2.499.887.080.500,2.285.386.359.986,numeric__Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:,numeric__2.499.887.080.500,numeric__2.285.386.359.986
02,02,02,"Khấu hao tài sản cố định (""TSCĐ"")",1.116.509.523.136,1.078.169.865.740,,1116509523136.0,1078169865740.0
03,03,03,Các khoản dự phòng,41.647.374.431,42.701.498.763,,41647374431.0,42701498763.0
04,04,04,(Lãi)/lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,(15.901.785.305),25.881.501.736,,-15901785305.0,25881501736.0
05,05,05,Lãi từ hoạt động đầu tư,(836.343.930.375),(643.934.235.915),,-836343930375.0,-643934235915.0
06,06,06,Chi phí lãi vay,371.427.394.591,220.614.607.102,,371427394591.0,220614607102.0
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,3.177.225.656.978,3.008.819.597.412,,3177225656978.0,3008819597412.0
09,09,09,Tăng các khoản phải thu,(73.308.661.885),(499.126.566.949),,-73308661885.0,-499126566949.0
10,10,10,Tăng hàng tồn kho,(372.854.594.054),(2.325.246.654),,-372854594054.0,-2325246654.0
11,11,11,(Giảm)/tăng các khoản phải trả,(126.055.867.417),326.382.669.076,,-126055867417.0,326382669076.0
12,12,12,Tăng chi phí trả trước,(311.780.199.673),(140.367.049.730),,-311780199673.0,-140367049730.0
14,14,14,Tiền lãi vay đã trả,(358.630.570.136),(207.449.283.488),,-358630570136.0,-207449283488.0
15,15,15,Thuế TNDN đã nộp,(509.762.730.189),(419.946.779.376),,-509762730189.0,-419946779376.0
16,16,16,Tiền thu khác từ hoạt động kinh doanh,10.000.000,250.000.000,,10000000.0,250000000.0
17,17,17,Tiền chi khác từ hoạt động kinh doanh,(131.282.817.265),(162.443.703.914),,-131282817265.0,-162443703914.0
20,20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,1.293.560.216.359,1.903.793.636.377,,1293560216359.0,1903793636377.0
