row_label_raw,row_label_full,Số đầu năm,VNDGiá trị > 384.750.322.638,numeric__VNDGiá trị > 384.750.322.638
Thu từ đi vay,Thu từ đi vay,Thu từ đi vay,428.436.454.139,428436454139.0
Trả nợ gốc vay,Trả nợ gốc vay,Trả nợ gốc vay,(393.964.924.216),-393964924216.0
Chênh lệch tỷ giá hồi đoái,Chênh lệch tỷ giá hồi đoái,Chênh lệch tỷ giá hồi đoái,687.400.000,687400000.0
Số cuối năm,Số cuối năm,Số cuối năm,419.909.252.561,419909252561.0
