row_label_raw,row_label_full,Ông Mai Hữu Tín,Chủ tịch,numeric__Chủ tịch
Ông Vũ Xuân Dương,Ông Vũ Xuân Dương,Ông Vũ Xuân Dương,Phó Chủ tịch,
Ông Nguyễn Trọng Hiếu,Ông Nguyễn Trọng Hiếu,Ông Nguyễn Trọng Hiếu,Thành viên,
Ông Võ Quốc Lợi,Ông Võ Quốc Lợi,Ông Võ Quốc Lợi,Thành viên,
Bà Nguyễn Thị Minh Hằng,Bà Nguyễn Thị Minh Hằng,Bà Nguyễn Thị Minh Hằng,Thành viên độc lập,
