row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,137.669.839.128,228.808.155.884,13.307.042.651,8.225.454.170,388.010.491.833,137669839128.0,228808155884.0,13307042651.0,8225454170.0,388010491833.0
Nhận lại Tài sản cán trừ (*),Nguyên giá: > Nhận lại Tài sản cán trừ (*),Nhận lại Tài sản cán trừ (*),176.710.609.643,25.318.993.535,5.818.465.636,10.896.198.080,218.744.266.894,176710609643.0,25318993535.0,5818465636.0,10896198080.0,218744266894.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,2.581.528.204,44.512.226.350,3.931.090.113,201.405.420,51.226.250.087,2581528204.0,44512226350.0,3931090113.0,201405420.0,51226250087.0
Phân loại lại,Nguyên giá: > Phân loại lại,Phân loại lại,1.959.376.773,-,-,-,1.959.376.773,1959376773.0,,,,1959376773.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,27.612.427.836,-,-,-,27.612.427.836,27612427836.0,,,,27612427836.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,346.533.781.584,298.639.375.769,23.056.598.400,19.323.057.670,687.552.813.423,346533781584.0,298639375769.0,23056598400.0,19323057670.0,687552813423.0
Trong đó: Đã khấu hao hết,Nguyên giá: > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,5.728.318.425,76.575.368.868,7.138.533.038,2.409.196.593,91.851.416.924,5728318425.0,76575368868.0,7138533038.0,2409196593.0,91851416924.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(56.428.442.148),(146.285.744.371),(8.448.481.033),(5.648.452.706),(216.811.120.258),-56428442148.0,-146285744371.0,-8448481033.0,-5648452706.0,-216811120258.0
Nhận lại Tài sản cán trừ (*),Giá trị khấu hao lũy kế: > Nhận lại Tài sản cán trừ (*),Nhận lại Tài sản cán trừ (*),(56.750.147.918),(5.684.991.676),(2.348.450.322),(3.546.939.479),(68.330.529.395),-56750147918.0,-5684991676.0,-2348450322.0,-3546939479.0,-68330529395.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,(7.390.344.608),(15.416.331.942),(591.453.386),(861.675.283),(24.259.805.219),-7390344608.0,-15416331942.0,-591453386.0,-861675283.0,-24259805219.0
Phân loại lại,Giá trị khấu hao lũy kế: > Phân loại lại,Phân loại lại,(508.410.898),-,-,-,(508.410.898),-508410898.0,,,,-508410898.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(121.077.345.572),(167.387.067.989),(11.388.384.741),(10.057.067.468),(309.909.865.770),-121077345572.0,-167387067989.0,-11388384741.0,-10057067468.0,-309909865770.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,81.241.396.980,82.522.411.513,4.858.561.618,2.577.001.464,171.199.371.575,81241396980.0,82522411513.0,4858561618.0,2577001464.0,171199371575.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,225.456.436.012,131.252.307.780,11.668.213.659,9.265.990.202,377.642.947.653,225456436012.0,131252307780.0,11668213659.0,9265990202.0,377642947653.0
