row_label_raw,row_label_full,Công ty TNHH MTV Sử Thiên Thanh,Cho vay,32.100.000.000,16.600.000.000,numeric__Cho vay,numeric__32.100.000.000,numeric__16.600.000.000
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,
Công ty TNHH Thương mại TTF,Phải trả người bán ngắn hạn > Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF,Mua hàng,16.359.449.562,1.605.397.120,,16359449562.0,1605397120.0
Công ty Cổ phần Bao bì Trường Thành,Phải trả người bán ngắn hạn > Công ty Cổ phần Bao bì Trường Thành,Công ty Cổ phần Bao bì Trường Thành,Mua hàng,1.717.935.076,1.717.935.076,,1717935076.0,1717935076.0
Công ty Cổ phần Đồ gỗ Casadora,Phải trả người bán ngắn hạn > Công ty Cổ phần Đồ gỗ Casadora,Công ty Cổ phần Đồ gỗ Casadora,Mua hàng,452.818.956,1.276.614.418,,452818956.0,1276614418.0
Công ty Cổ phần Lâm nghiệp Trường Thành,Phải trả người bán ngắn hạn > Công ty Cổ phần Lâm nghiệp Trường Thành,Công ty Cổ phần Lâm nghiệp Trường Thành,Mua hàng,120.971.000,120.971.000,,120971000.0,120971000.0
Công ty TNHH MTV Sử Thiên Thanh,Phải trả người bán ngắn hạn > Công ty TNHH MTV Sử Thiên Thanh,Công ty TNHH MTV Sử Thiên Thanh,Mua hàng,-,117.453.440,,,117453440.0
Công ty Cổ phần Trường Thành Xanh,Phải trả người bán ngắn hạn > Công ty Cổ phần Trường Thành Xanh,Công ty Cổ phần Trường Thành Xanh,Mua hàng,-,12.960.000,,,12960000.0
,,,,18.651.174.594,4.851.331.054,,18651174594.0,4851331054.0
