row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__VND Số cuối năm
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,14.064.764.798,58.348.136.425,(61.535.341.191),10.877.560.032,14064764798.0,58348136425.0,-61535341191.0,10877560032.0
Thuế nhập khẩu,Phải thu > Thuế nhập khẩu,Thuế nhập khẩu,168.213.822,250.134.923,(244.386.202),173.962.543,168213822.0,250134923.0,-244386202.0,173962543.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,14.232.978.620,58.598.271.348,(61.779.727.393),11.051.522.575,14232978620.0,58598271348.0,-61779727393.0,11051522575.0
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Phạt thuế,Phải nộp > Phạt thuế,Phạt thuế,25.764.437.755,2.384.112.584,(11.265.663.693),16.882.886.646,25764437755.0,2384112584.0,-11265663693.0,16882886646.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,9.386.691.139,11.744.518.478,(20.041.260.829),1.089.948.788,9386691139.0,11744518478.0,-20041260829.0,1089948788.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,976.437.493,7.611.151,(7.611.151),976.437.493,976437493.0,7611151.0,-7611151.0,976437493.0
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,3.796.988.450,50.355.576.676,(54.152.565.126),-,3796988450.0,50355576676.0,-54152565126.0,
Khác,Phải nộp > Khác,Khác,2.648.225.427,4.355.581.514,(6.542.106.544),461.700.397,2648225427.0,4355581514.0,-6542106544.0,461700397.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,42.572.780.264,68.847.400.403,(92.009.207.343),19.410.973.324,42572780264.0,68847400403.0,-92009207343.0,19410973324.0
