row_label_raw,row_label_full,col_0,Cổ phiếu phổ thôngcó quyền biểu quyết,Cổ phiếu ưu đãi,Thăng dưvốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Lỗ lũy kế,Tổng cộng,numeric__Cổ phiếu phổ thôngcó quyền biểu quyết,numeric__Cổ phiếu ưu đãi,numeric__Thăng dưvốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Lỗ lũy kế,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,3.935.483.020.000,176.500.000.000,(517.711.506.620),(552.965.000),16.176.475.297,(3.049.627.110.887),560.267.912.790,3935483020000.0,176500000000.0,-517711506620.0,-552965000.0,16176475297.0,-3049627110887.0,560267912790.0
Lỗ thuần trong năm,Năm trước > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,-,(103.505.462.042),(103.505.462.042),,,,,,-103505462042.0,-103505462042.0
Cổ tức cổ phiếu ưu đãi,Năm trước > Cổ tức cổ phiếu ưu đãi,Cổ tức cổ phiếu ưu đãi,-,-,-,-,-,(21.484.602.739),(21.484.602.739),,,,,,-21484602739.0,-21484602739.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,3.935.483.020.000,176.500.000.000,(517.711.506.620),(552.965.000),16.176.475.297,(3.174.617.175.668),435.277.848.009,3935483020000.0,176500000000.0,-517711506620.0,-552965000.0,16176475297.0,-3174617175668.0,435277848009.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.935.483.020.000,176.500.000.000,(517.711.506.620),(552.965.000),16.176.475.297,(3.174.617.175.668),435.277.848.009,3935483020000.0,176500000000.0,-517711506620.0,-552965000.0,16176475297.0,-3174617175668.0,435277848009.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,7.387.976.640,7.387.976.640,,,,,,7387976640.0,7387976640.0
Cổ tức cổ phiếu ưu đãi (*),Năm nay > Cổ tức cổ phiếu ưu đãi (*),Cổ tức cổ phiếu ưu đãi (*),-,-,-,-,-,(21.180.000.000),(21.180.000.000),,,,,,-21180000000.0,-21180000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.935.483.020.000,176.500.000.000,(517.711.506.620),(552.965.000),16.176.475.297,(3.188.409.199.028),421.485.824.649,3935483020000.0,176500000000.0,-517711506620.0,-552965000.0,16176475297.0,-3188409199028.0,421485824649.0
