row_label_raw,row_label_full,Công ty TNHH Trồng rừng Trường Thành OJI,Cho vay,39.866.278.800,38.064.868.000,numeric__Cho vay,numeric__39.866.278.800,numeric__38.064.868.000
Công ty Cổ phần Đồ gỗ Casadora,Công ty Cổ phần Đồ gỗ Casadora,Công ty Cổ phần Đồ gỗ Casadora,Cho vay,21.047.500.000,15.804.000.000,,21047500000.0,15804000000.0
Công ty Cổ phần Lâm nghiệp Trường Thành,Công ty Cổ phần Lâm nghiệp Trường Thành,Công ty Cổ phần Lâm nghiệp Trường Thành,Cho vay,8.570.400.000,6.600.000.000,,8570400000.0,6600000000.0
Công ty Cổ phần Trường Thành (*),Công ty Cổ phần Trường Thành (*),Công ty Cổ phần Trường Thành (*),Cho vay,-,144.551.654.540,,,144551654540.0
Công ty Cổ phần Chế biến Gỗ Trường Thành (*),Công ty Cổ phần Chế biến Gỗ Trường Thành (*),Công ty Cổ phần Chế biến Gỗ Trường Thành (*),Cho vay,-,118.063.854.139,,,118063854139.0
Công ty TNHH MTV Sử Thiên Thanh,Công ty TNHH MTV Sử Thiên Thanh,Công ty TNHH MTV Sử Thiên Thanh,Cho vay,-,15.500.000.000,,,15500000000.0
,,,,69.484.178.800,338.584.376.679,,69484178800.0,338584376679.0
