row_label_raw,row_label_full,Lãi từ thanh lý khoản đầu tư vào các công ty con (Thuyết minh 17.1),Năm nay > 40.750.000.000,VNDNăm trước > -,numeric__Năm nay > 40.750.000.000,numeric__VNDNăm trước > -
Lãi cho vay và lãi tiền gửi,Lãi cho vay và lãi tiền gửi,Lãi cho vay và lãi tiền gửi,13.003.977.165,13.988.261.559,13003977165.0,13988261559.0
Lãi chênh lệch tỷ giả hối đoái,Lãi chênh lệch tỷ giả hối đoái,Lãi chênh lệch tỷ giả hối đoái,6.900.118.688,7.456.839.746,6900118688.0,7456839746.0
Chiết khấu thanh toán,Chiết khấu thanh toán,Chiết khấu thanh toán,2.766.195.337,1.237.394.179,2766195337.0,1237394179.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,63.420.291.190,22.682.495.484,63420291190.0,22682495484.0
