row_label_raw,row_label_full,Số đầu năm > Dự phòng trích lập trong năm > Hoàn nhập dự phòng trong năm > Xóa số dự phòng trong năm > Số cuối năm,Năm nay > (459.100.595.786) > (18.809.629.039) > 101.042.239.530 > - > (376.867.985.295),VNDNăm trước > (798.316.144.866) > (17.624.486.615) > 8.989.444.935 > 347.850.590.760 > (459.100.595.786),numeric__Năm nay > (459.100.595.786) > (18.809.629.039) > 101.042.239.530 > - > (376.867.985.295),numeric__VNDNăm trước > (798.316.144.866) > (17.624.486.615) > 8.989.444.935 > 347.850.590.760 > (459.100.595.786)
Trong đó:Dự phòng phải thu ngắn hạn khó đòi,Trong đó:Dự phòng phải thu ngắn hạn khó đòi,Trong đó:Dự phòng phải thu ngắn hạn khó đòi,(146.193.767.061),(459.100.595.786),-146193767061.0,-459100595786.0
Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,(230.674.218.234),-,-230674218234.0,
