row_label_raw,row_label_full,col_0,Năm 2024triệu đồng,Năm 2023triệu đồng,numeric__Năm 2024triệu đồng,numeric__Năm 2023triệu đồng
"Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí",92.586,87.993,92586.0,87993.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,2.901.850,2.838.027,2901850.0,2838027.0
Chi lương và phụ cấp,Chi lương và phụ cấp,Chi lương và phụ cấp,2.523.672,2.498.722,2523672.0,2498722.0
Các khoản chi đóng góp theo lương,Các khoản chi đóng góp theo lương,Các khoản chi đóng góp theo lương,228.952,215.854,228952.0,215854.0
Chi trợ cấp,Chi trợ cấp,Chi trợ cấp,59.741,59.186,59741.0,59186.0
Các khoản chi khác,Các khoản chi khác,Các khoản chi khác,89.485,64.265,89485.0,64265.0
Chi về tài sản,Chi về tài sản,Chi về tài sản,803.478,639.932,803478.0,639932.0
Khấu hao tài sản cố định,Khấu hao tài sản cố định,Khấu hao tài sản cố định,101.057,100.262,101057.0,100262.0
Bảo dưỡng và sửa chữa tài sản,Bảo dưỡng và sửa chữa tài sản,Bảo dưỡng và sửa chữa tài sản,138.192,116.921,138192.0,116921.0
Thuê tài sản,Thuê tài sản,Thuê tài sản,514.184,374.173,514184.0,374173.0
Mua sắm công cụ lao động,Mua sắm công cụ lao động,Mua sắm công cụ lao động,42.943,37.186,42943.0,37186.0
Chi bảo hiểm tài sản,Chi bảo hiểm tài sản,Chi bảo hiểm tài sản,7.102,11.390,7102.0,11390.0
Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,1.317.058,1.150.713,1317058.0,1150713.0
Công tác phí,Công tác phí,Công tác phí,82.903,65.405,82903.0,65405.0
"Chi thuê chuyên gia, tư vấn","Chi thuê chuyên gia, tư vấn","Chi thuê chuyên gia, tư vấn",180.452,139.080,180452.0,139080.0
Chi hoạt động quản lý công vụ khác,Chi hoạt động quản lý công vụ khác,Chi hoạt động quản lý công vụ khác,1.053.703,946.228,1053703.0,946228.0
"Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng",109.952,95.736,109952.0,95736.0
Trích lập/(Hoàn nhập) chi phí dự phòng (không tính chi phí dự phòng rủi ro tín dụng nội và ngoại bảng; chi phí dự phòng giảm giá chứng khoán),Trích lập/(Hoàn nhập) chi phí dự phòng (không tính chi phí dự phòng rủi ro tín dụng nội và ngoại bảng; chi phí dự phòng giảm giá chứng khoán),Trích lập/(Hoàn nhập) chi phí dự phòng (không tính chi phí dự phòng rủi ro tín dụng nội và ngoại bảng; chi phí dự phòng giảm giá chứng khoán),5.011,(70),5011.0,-70.0
,,,5.229.935,4.812.331,5229935.0,4812331.0
