row_label_raw,row_label_full,col_0,Năm 2024triệu đồng,Năm 2023triệu đồng,numeric__Năm 2024triệu đồng,numeric__Năm 2023triệu đồng
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,1.869.859,610.169,1869859.0,610169.0
Thu nhập từ nợ đã xử lý rủi ro,Thu nhập từ nợ đã xử lý rủi ro,Thu nhập từ nợ đã xử lý rủi ro,1.341.826,169.516,1341826.0,169516.0
Thu nhập từ chuyển nhượng thanh lý tài sản,Thu nhập từ chuyển nhượng thanh lý tài sản,Thu nhập từ chuyển nhượng thanh lý tài sản,23.206,469,23206.0,469.0
Thu từ nghiệp vụ mua bán nợ,Thu từ nghiệp vụ mua bán nợ,Thu từ nghiệp vụ mua bán nợ,307,177,307.0,177.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,504.520,440.007,504520.0,440007.0
Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,(577.625),(709.697),-577625.0,-709697.0
Chi về nghiệp vụ mua bán nợ,Chi về nghiệp vụ mua bán nợ,Chi về nghiệp vụ mua bán nợ,(8),-,-8.0,
Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,(52),(64),-52.0,-64.0
Chi phí khác,Chi phí khác,Chi phí khác,(577.565),(709.633),-577565.0,-709633.0
Lãi/(Lỗ) thuần từ hoạt động khác,Lãi/(Lỗ) thuần từ hoạt động khác,Lãi/(Lỗ) thuần từ hoạt động khác,1.292.234,(99.528),1292234.0,-99528.0
