row_label_raw,row_label_full,col_0,Tài chínhngân hàngtriệu đồng,Khácđịch/số dư nội bộtriệu đồng,Loại trừ giao,Tổng cộngtriệu đồng,numeric__Tài chínhngân hàngtriệu đồng,numeric__Khácđịch/số dư nội bộtriệu đồng,numeric__Loại trừ giao,numeric__Tổng cộngtriệu đồng
I. Doanh thu,I. Doanh thu,I. Doanh thu,47.694.851,-,(18.052.427),29.642.424,47694851.0,,-18052427.0,29642424.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,36.733.616,-,(18.052.359),18.681.257,36733616.0,,-18052359.0,18681257.0
2. Doanh thu từ hoạt độngdịch vụ,2. Doanh thu từ hoạt độngdịch vụ,2. Doanh thu từ hoạt độngdịch vụ,1.834.861,-,(68),1.834.793,1834861.0,,-68.0,1834793.0
3. Doanh thu từ hoạt độngkinh doanh khác,3. Doanh thu từ hoạt độngkinh doanh khác,3. Doanh thu từ hoạt độngkinh doanh khác,9.126.374,-,-,9.126.374,9126374.0,,,9126374.0
II. Chi phí,II. Chi phí,II. Chi phí,(38.696.570),-,18.042.445,(20.654.125),-38696570.0,,18042445.0,-20654125.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(26.490.552),-,18.052.359,(8.438.193),-26490552.0,,18052359.0,-8438193.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(101.057),-,-,(101.057),-101057.0,,,-101057.0
3. Chi phí liên quan trực tiếpđến hoạt động kinh doanh,3. Chi phí liên quan trực tiếpđến hoạt động kinh doanh,3. Chi phí liên quan trực tiếpđến hoạt động kinh doanh,(12.104.961),-,(9.914),(12.114.875),-12104961.0,,-9914.0,-12114875.0
Kết quả kinh doanh trướcchi phí dự phòng rủi ro,Kết quả kinh doanh trướcchi phí dự phòng rủi ro,Kết quả kinh doanh trướcchi phí dự phòng rủi ro,8.998.281,-,(9.982),8.988.299,8998281.0,,-9982.0,8988299.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(2.084.463),-,-,(2.084.463),-2084463.0,,,-2084463.0
Kết quả kinh doanh bộphận,Kết quả kinh doanh bộphận,Kết quả kinh doanh bộphận,6.913.818,-,(9.982),6.903.836,6913818.0,,-9982.0,6903836.0
