row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,Phần mềm máy vi tính triệu đồng,TSCĐ vô hình khác triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__Phần mềm máy vi tính triệu đồng,numeric__TSCĐ vô hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,52.233,556.624,22.086,630.943,52233.0,556624.0,22086.0,630943.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,34.374,18.051,-,52.425,34374.0,18051.0,,52425.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(17.292),-,-,(17.292),-17292.0,,,-17292.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,69.315,574.675,22.086,666.076,69315.0,574675.0,22086.0,666076.0
Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỷ kế > Số dư đầu năm,Số dư đầu năm,-,418.187,12.553,430.740,,418187.0,12553.0,430740.0
Hao mòn trong năm,Giá trị hao mòn luỷ kế > Hao mòn trong năm,Hao mòn trong năm,909,31.283,2.837,35.029,909.0,31283.0,2837.0,35029.0
Số dư cuối năm,Giá trị hao mòn luỷ kế > Số dư cuối năm,Số dư cuối năm,909,449.470,15.390,465.769,909.0,449470.0,15390.0,465769.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,52.233,138.437,9.533,200.203,52233.0,138437.0,9533.0,200203.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,68.406,125.205,6.696,200.307,68406.0,125205.0,6696.0,200307.0
