row_label_raw,row_label_full,Tập đoàn Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,Ngày 31 tháng 12năm 2024Phải thu/(Phải trả)triệu đồng > Tập đoàn Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,Ngày 31 tháng 12năm 2023Phải thu/(Phải trả)triệu đồng > Tập đoàn Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,numeric__Ngày 31 tháng 12năm 2024Phải thu/(Phải trả)triệu đồng > Tập đoàn Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,numeric__Ngày 31 tháng 12năm 2023Phải thu/(Phải trả)triệu đồng > Tập đoàn Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,(6.607),(3.638),-6607.0,-3638.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,-,(1.555.000),,-1555000.0
Các khoản lãi phải trả,Các khoản lãi phải trả,Các khoản lãi phải trả,-,(21.864),,-21864.0
CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,,
Tiền gửi không kỳ hạn,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,(8.515),(3.588),-8515.0,-3588.0
Tiền gửi có kỳ hạn,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị > Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,(760),-,-760.0,
Phải trả lãi tiền gửi,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị > Phải trả lãi tiền gửi,Phải trả lãi tiền gửi,(2),-,-2.0,
Tiền vay,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị > Tiền vay,Tiền vay,35,48,35.0,48.0
CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,,
Tiền gửi không kỳ hạn,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,(705),(381),-705.0,-381.0
Tiền vay,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị > Tiền vay,Tiền vay,17,13,17.0,13.0
CTCP ROX Key Holdings – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Key Holdings – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Key Holdings – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Key Holdings – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Key Holdings – Bên liên quan của thành viên Hội đồng Quản trị,,
Tiền gửi không kỳ hạn,CTCP ROX Key Holdings – Bên liên quan của thành viên Hội đồng Quản trị > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,(12.738),(20.735),-12738.0,-20735.0
Tiền gửi có kỳ hạn,CTCP ROX Key Holdings – Bên liên quan của thành viên Hội đồng Quản trị > Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,-,(203.000),,-203000.0
Các khoản lãi phải trả,CTCP ROX Key Holdings – Bên liên quan của thành viên Hội đồng Quản trị > Các khoản lãi phải trả,Các khoản lãi phải trả,-,(42),,-42.0
CTCP ROX Asset – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Asset – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Asset – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Asset – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Asset – Bên liên quan của thành viên Hội đồng Quản trị,,
Tiền gửi không kỳ hạn,CTCP ROX Asset – Bên liên quan của thành viên Hội đồng Quản trị > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,(449),(336),-449.0,-336.0
Tiền vay,CTCP ROX Asset – Bên liên quan của thành viên Hội đồng Quản trị > Tiền vay,Tiền vay,-,9,,9.0
CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị,,
Tiền gửi không kỳ hạn,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,(437),(2.086),-437.0,-2086.0
Tiền vay,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị > Tiền vay,Tiền vay,5,15,5.0,15.0
"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này",,
Tiền gửi không kỳ hạn,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này > Tiền gửi không kỳ hạn",Tiền gửi không kỳ hạn,(60.977),(549.608),-60977.0,-549608.0
Tiền gửi có kỳ hạn,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này > Tiền gửi có kỳ hạn",Tiền gửi có kỳ hạn,(13.085),(87.950),-13085.0,-87950.0
Tiền vay,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này > Tiền vay",Tiền vay,273.116,202.192,273116.0,202192.0
Các khoản lãi và phí phải thu,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này > Các khoản lãi và phí phải thu",Các khoản lãi và phí phải thu,2.010,1.311,2010.0,1311.0
Các khoản lãi phải trả và các khoản chờ thanhtoán khác,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban kiểm soát và những người có liên quan của các thành viên này > Các khoản lãi phải trả và các khoản chờ thanhtoán khác",Các khoản lãi phải trả và các khoản chờ thanhtoán khác,(645),(4.672),-645.0,-4672.0
