row_label_raw,row_label_full,col_0,EUR quy đổi triệu đồng,USD quy đổi triệu đồng,Ngoại tệ khác quy đổi triệu đồng,Tổng cộng triệu đồng,numeric__EUR quy đổi triệu đồng,numeric__USD quy đổi triệu đồng,numeric__Ngoại tệ khác quy đổi triệu đồng,numeric__Tổng cộng triệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",13.144,275.433,40.082,328.659,13144.0,275433.0,40082.0,328659.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,1.130,827.517,-,828.647,1130.0,827517.0,,828647.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),69.278,1.193.107,216.817,1.479.202,69278.0,1193107.0,216817.0,1479202.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,61.105,319.649,-,380.754,61105.0,319649.0,,380754.0
Cho vay khách hàng và mua nợ (*),Tài sản > Cho vay khách hàng và mua nợ (*),Cho vay khách hàng và mua nợ (*),10.239,9.107.456,805,9.118.500,10239.0,9107456.0,805.0,9118500.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),164,152.066,4.791,157.021,164.0,152066.0,4791.0,157021.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,155.060,11.875.228,262.495,12.292.783,155060.0,11875228.0,262495.0,12292783.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,8.599,-,8.599,,8599.0,,8599.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,26.587,10.390.566,34.093,10.451.246,26587.0,10390566.0,34093.0,10451246.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,106.992,6.191.385,129.161,6.427.538,106992.0,6191385.0,129161.0,6427538.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,673.141,673.141,,,673141.0,673141.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),10.554,535.437,66.068,612.059,10554.0,535437.0,66068.0,612059.0
Tổng nợ phải trả và vốn chủ sở hữu,Nợ phải trả > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,144.133,17.125.987,902.463,18.172.583,144133.0,17125987.0,902463.0,18172583.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,10.927,(5.250.759),(639.968),(5.879.800),10927.0,-5250759.0,-639968.0,-5879800.0
Trạng thái tiền tệ ngoại bằng,Nợ phải trả > Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,532,1.604.318,704.381,2.309.231,532.0,1604318.0,704381.0,2309231.0
"Trạng thái tiền tệ nội, ngoại bằng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ nội, ngoại bằng",11.459,(3.646.441),64.413,(3.570.569),11459.0,-3646441.0,64413.0,-3570569.0
