row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Tổng giá trị hợp đồng (*) triệu đồng > Tại ngày 31 tháng 12 năm 2024,Tổng giá trị ghi sổ (**) > Tài sản triệu đồng > Tại ngày 31 tháng 12 năm 2024,Tổng giá trị ghi sổ (**) > Nợ phải trả triệu đồng > Tại ngày 31 tháng 12 năm 2024,Giá trị thuần triệu đồng > Tại ngày 31 tháng 12 năm 2024,numeric__Tổng giá trị hợp đồng (*) triệu đồng > Tại ngày 31 tháng 12 năm 2024,numeric__Tổng giá trị ghi sổ (**) > Tài sản triệu đồng > Tại ngày 31 tháng 12 năm 2024,numeric__Tổng giá trị ghi sổ (**) > Nợ phải trả triệu đồng > Tại ngày 31 tháng 12 năm 2024,numeric__Giá trị thuần triệu đồng > Tại ngày 31 tháng 12 năm 2024
Công cụ tài chính phải sinh,Công cụ tài chính phải sinh,Công cụ tài chính phải sinh,Công cụ tài chính phải sinh,Công cụ tài chính phải sinh,Công cụ tài chính phải sinh,Công cụ tài chính phải sinh,,,,
Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,67.839.697,-,(67.298),(67.298),67839697.0,,-67298.0,-67298.0
Giao dịch hoán đổi,Công cụ tài chính phải sinh > Giao dịch hoán đổi,Giao dịch hoán đổi,222.988.861,-,(662.830),(662.830),222988861.0,,-662830.0,-662830.0
,,,290.828.558,-,(730.128),(730.128),290828558.0,,-730128.0,-730128.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,,,,
Công cụ tài chính phải sinh,Công cụ tài chính phải sinh,Công cụ tài chính phải sinh,Công cụ tài chính phải sinh,Công cụ tài chính phải sinh,Công cụ tài chính phải sinh,Công cụ tài chính phải sinh,,,,
Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,62.703.812,-,(43.307),(43.307),62703812.0,,-43307.0,-43307.0
Giao dịch hoán đổi,Công cụ tài chính phải sinh > Giao dịch hoán đổi,Giao dịch hoán đổi,158.208.872,-,(220.049),(220.049),158208872.0,,-220049.0,-220049.0
,,,220.912.684,-,(263.356),(263.356),220912684.0,,-263356.0,-263356.0
