row_label_raw,row_label_full,col_0,Giá trị ghi số > Ghi nhận giá trị hợp lý thông qua lãi lỗ triệu đồng,Giá trị ghi số > Giữ đến ngày đáo hạn triệu đồng,Giá trị ghi số > Cho vay và phải thu triệu đồng,Giá trị ghi số > Sắn sàng để bán triệu đồng,Giá trị ghi số > Tài sản và nợ khác ghi nhận theo giá trị phân bổ triệu đồng,Giá trị ghi số > Tổng cộng triệu đồng,Giá trị ghi số > Giá trị hợp lý triệu đồng,numeric__Giá trị ghi số > Ghi nhận giá trị hợp lý thông qua lãi lỗ triệu đồng,numeric__Giá trị ghi số > Giữ đến ngày đáo hạn triệu đồng,numeric__Giá trị ghi số > Cho vay và phải thu triệu đồng,numeric__Giá trị ghi số > Sắn sàng để bán triệu đồng,numeric__Giá trị ghi số > Tài sản và nợ khác ghi nhận theo giá trị phân bổ triệu đồng,numeric__Giá trị ghi số > Tổng cộng triệu đồng,numeric__Giá trị ghi số > Giá trị hợp lý triệu đồng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",1.203.088,-,-,-,-,1.203.088,1.203.088,1203088.0,,,,,1203088.0,1203088.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,5.494.784,-,-,5.494.784,(*),,,5494784.0,,,5494784.0,
Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,60.936.150,-,-,60.936.150,(*),,,60936150.0,,,60936150.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,176.493.451,-,-,176.493.451,(*),,,176493451.0,,,176493451.0,
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,-,-,-,65.604.781,-,65.604.781,(*),,,,65604781.0,,65604781.0,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,17.049,-,17.049,(*),,,,17049.0,,17049.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,12.167.819,-,-,12.167.819,(*),,,12167819.0,,,12167819.0,
,,,1.203.088,-,255.092.204,65.621.830,-,321.917.122,,1203088.0,,255092204.0,65621830.0,,321917122.0,
Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,-,9.203.519,9.203.519,(*),,,,,9203519.0,9203519.0,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,92.189.465,92.189.465,(*),,,,,92189465.0,92189465.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,154.612.451,154.612.451,(*),,,,,154612451.0,154612451.0,
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,730.128,-,-,-,-,730.128,(*),730128.0,,,,,730128.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,21.210.596,21.210.596,(*),,,,,21210596.0,21210596.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,3.866.709,3.866.709,(*),,,,,3866709.0,3866709.0,
,,,730.128,-,-,-,281.082.740,281.812.868,,730128.0,,,,281082740.0,281812868.0,
