row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng","Máy móc,thiết bịtriệu đồng",Phương tiệnvận tảitriệu đồng,Thiết bị dụng cụquản lýtriệu đồng,TSCĐhửu hình kháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng","numeric__Máy móc,thiết bịtriệu đồng",numeric__Phương tiệnvận tảitriệu đồng,numeric__Thiết bị dụng cụquản lýtriệu đồng,numeric__TSCĐhửu hình kháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,28.589,454.358,91.171,81.419,5.592,661.129,28589.0,454358.0,91171.0,81419.0,5592.0,661129.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,79.855,-,17.683,-,97.538,,79855.0,,17683.0,,97538.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(4.209),(2.233),(1.150),(4.887),-,(12.479),-4209.0,-2233.0,-1150.0,-4887.0,,-12479.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,24.380,531.980,90.021,94.215,5.592,746.188,24380.0,531980.0,90021.0,94215.0,5592.0,746188.0
Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,,,,,,
Số dư đầu năm,Giá trị khấu hao luỹ kế > Số dư đầu năm,Số dư đầu năm,13.941,294.749,77.469,71.354,1.083,458.596,13941.0,294749.0,77469.0,71354.0,1083.0,458596.0
Khấu hao trong năm,Giá trị khấu hao luỹ kế > Khấu hao trong năm,Khấu hao trong năm,525,51.719,2.736,9.956,1.092,66.028,525.0,51719.0,2736.0,9956.0,1092.0,66028.0
Thanh lý trong năm,Giá trị khấu hao luỹ kế > Thanh lý trong năm,Thanh lý trong năm,(2.603),(2.233),(1.150),(4.887),-,(10.873),-2603.0,-2233.0,-1150.0,-4887.0,,-10873.0
Số dư cuối năm,Giá trị khấu hao luỹ kế > Số dư cuối năm,Số dư cuối năm,11.863,344.235,79.055,76.423,2.175,513.751,11863.0,344235.0,79055.0,76423.0,2175.0,513751.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,14.648,159.609,13.702,10.065,4.509,202.533,14648.0,159609.0,13702.0,10065.0,4509.0,202533.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,12.517,187.745,10.966,17.792,3.417,232.437,12517.0,187745.0,10966.0,17792.0,3417.0,232437.0
