row_label_raw,row_label_full,Công ty (*),Mối quan hệ,numeric__Mối quan hệ
Công ty TNHH FPT IS,Công ty TNHH FPT IS,Công ty TNHH FPT IS,Công ty con,
Công ty TNHH Đầu tư FPT,Công ty TNHH Đầu tư FPT,Công ty TNHH Đầu tư FPT,Công ty con,
Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,Công ty con,
Công ty TNHH Phần mềm FPT,Công ty TNHH Phần mềm FPT,Công ty TNHH Phần mềm FPT,Công ty con,
Công ty Cổ phần Viễn thông FPT,Công ty Cổ phần Viễn thông FPT,Công ty Cổ phần Viễn thông FPT,Công ty con,
Công ty Cổ phần Dịch vụ Trực tuyến FPT,Công ty Cổ phần Dịch vụ Trực tuyến FPT,Công ty Cổ phần Dịch vụ Trực tuyến FPT,Công ty con,
Công ty TNHH FPT Smart Cloud,Công ty TNHH FPT Smart Cloud,Công ty TNHH FPT Smart Cloud,Công ty con,
Công ty TNHH FPT Digital,Công ty TNHH FPT Digital,Công ty TNHH FPT Digital,Công ty con,
Công ty Cổ phần Synnex FPT,Công ty Cổ phần Synnex FPT,Công ty Cổ phần Synnex FPT,Công ty liên kết,
Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty liên kết,
"Hội đồng Quản trị, Ban Tổng Giám đốc, Ban Kiểm soát và người quản lý chủ chốt khác","Hội đồng Quản trị, Ban Tổng Giám đốc, Ban Kiểm soát và người quản lý chủ chốt khác","Hội đồng Quản trị, Ban Tổng Giám đốc, Ban Kiểm soát và người quản lý chủ chốt khác",Nhân sự quản lý chủ chốt,
