row_label_raw,row_label_full,v),Phải trả người bán ngắn hạn (Thuyết minh 10),31/12/2024VND > Phải trả người bán ngắn hạn (Thuyết minh 10),31/12/2023VND > Phải trả người bán ngắn hạn (Thuyết minh 10),numeric__Phải trả người bán ngắn hạn (Thuyết minh 10),numeric__31/12/2024VND > Phải trả người bán ngắn hạn (Thuyết minh 10),numeric__31/12/2023VND > Phải trả người bán ngắn hạn (Thuyết minh 10)
v),v),v),Công ty TNHH Giáo dục FPT,639.517.136.055,661.410.486.719,,639517136055.0,661410486719.0
v),v),v),Công ty TNHH FPT IS,95.003.609.420,34.961.899.922,,95003609420.0,34961899922.0
v),v),v),Công ty TNHH Phần mềm FPT,21.348.050.986,7.175.286.115,,21348050986.0,7175286115.0
v),v),v),Công ty TNHH FPT Digital,3.555.000.000,913.000.000,,3555000000.0,913000000.0
v),v),v),Công ty TNHH FPT Smart Cloud,3.357.351.624,2.837.183.948,,3357351624.0,2837183948.0
v),v),v),Công ty TNHH Đầu tư FPT,1.595.000.000,1.595.000.000,,1595000000.0,1595000000.0
v),v),v),Công ty Cổ phần Viễn thông FPT,1.229.025.069,10.255.787.727,,1229025069.0,10255787727.0
v),v),v),Công ty Cổ phần Dịch vụ Trực tuyến FPT,437.168.571,576.362.398,,437168571.0,576362398.0
v),v),v),Công ty Cổ phần Synnex FPT,40.892.399,-,,40892399.0,
v),v),v),Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,27.950.000,19.490.000,,27950000.0,19490000.0
v),v),v),,766.111.184.124,719.744.496.829,,766111184124.0,719744496829.0
vi),vi),vi),Phải trả ngắn hạn khác (Thuyết minh 13),Phải trả ngắn hạn khác (Thuyết minh 13),Phải trả ngắn hạn khác (Thuyết minh 13),,,
vi),vi) > vi),vi),Công ty TNHH FPT IS,87.221.110.262,483.979.895.506,,87221110262.0,483979895506.0
vi),vi) > vi),vi),Công ty TNHH Phần mềm FPT,33.538.966.136,25.090.590.534,,33538966136.0,25090590534.0
vi),vi) > vi),vi),Công ty TNHH Đầu tư FPT,3.776.629.942,5.184.522.717,,3776629942.0,5184522717.0
vi),vi) > vi),vi),Công ty TNHH Giáo dục FPT,662.409.024,15.310.669.560,,662409024.0,15310669560.0
vi),vi) > vi),vi),Công ty Cổ phần Viễn Thông FPT,507.269.336,329.287.587,,507269336.0,329287587.0
vi),vi) > vi),vi),Công ty TNHH FPT Digital,174.029.891,551.747,,174029891.0,551747.0
vi),vi) > vi),vi),Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,-,4.987.913,,,4987913.0
vi),vi) > vi),vi),,125.880.414.591,529.900.505.564,,125880414591.0,529900505564.0
vii),vii),vii),Vay ngắn hạn (Thuyết minh 14),Vay ngắn hạn (Thuyết minh 14),Vay ngắn hạn (Thuyết minh 14),,,
vii),vii) > vii),vii),Công ty TNHH Giáo dục FPT,5.156.000.000.000,3.656.000.000.000,,5156000000000.0,3656000000000.0
vii),vii) > vii),vii),Công ty TNHH FPT IS,1.130.000.000.000,1.450.000.000.000,,1130000000000.0,1450000000000.0
vii),vii) > vii),vii),Công ty TNHH FPT Smart Cloud,476.000.000.000,-,,476000000000.0,
vii),vii) > vii),vii),Công ty TNHH Phần mềm FPT,336.600.000.000,619.000.000.000,,336600000000.0,619000000000.0
vii),vii) > vii),vii),Công ty TNHH Đầu tư FPT,57.000.000.000,-,,57000000000.0,
vii),vii) > vii),vii),,7.155.600.000.000,5.725.000.000.000,,7155600000000.0,5725000000000.0
