row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2024,Nguyên giá > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,2.128.287.540.053,277.515.723.403,23.598.270.455,76.866.454.038,2.574.612.620,2.508.842.600.569,2128287540053.0,277515723403.0,23598270455.0,76866454038.0,2574612620.0,2508842600569.0
Chuyên từ chi phí xây dựng cơbản dở dang,Nguyên giá > Chuyên từ chi phí xây dựng cơbản dở dang,Chuyên từ chi phí xây dựng cơbản dở dang,71.818.519,-,-,-,-,71.818.519,71818519.0,,,,,71818519.0
Mua mới,Nguyên giá > Mua mới,Mua mới,6.348.421.296,459.939.200,-,656.669.253,-,7.465.029.749,6348421296.0,459939200.0,,656669253.0,,7465029749.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(995.199.546),-,-,(995.199.546),,,-995199546.0,,,-995199546.0
Tại ngày 31 tháng 12 năm 2024,Nguyên giá > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,2.134.707.779.868,277.975.662.603,22.603.070.909,77.523.123.291,2.574.612.620,2.515.384.249.291,2134707779868.0,277975662603.0,22603070909.0,77523123291.0,2574612620.0,2515384249291.0
Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị khấu hao luỹ kế > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,(239.134.314.900),(93.428.082.770),(13.616.230.366),(69.529.426.245),(2.287.331.794),(417.995.386.075),-239134314900.0,-93428082770.0,-13616230366.0,-69529426245.0,-2287331794.0,-417995386075.0
Khấu hao trong năm,Giá trị khấu hao luỹ kế > Khấu hao trong năm,Khấu hao trong năm,(87.147.141.665),(24.022.394.398),(2.643.543.737),(4.155.705.250),(287.280.826),(118.256.065.876),-87147141665.0,-24022394398.0,-2643543737.0,-4155705250.0,-287280826.0,-118256065876.0
"Thanh lý, nhượng bán","Giá trị khấu hao luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,995.199.546,-,-,995.199.546,,,995199546.0,,,995199546.0
Tại ngày 31 tháng 12 năm 2024,Giá trị khấu hao luỹ kế > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,(326.281.456.565),(117.450.477.168),(15.264.574.557),(73.685.131.495),(2.574.612.620),(535.256.252.405),-326281456565.0,-117450477168.0,-15264574557.0,-73685131495.0,-2574612620.0,-535256252405.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,1.889.153.225.153,184.087.640.633,9.982.040.089,7.337.027.793,287.280.826,2.090.847.214.494,1889153225153.0,184087640633.0,9982040089.0,7337027793.0,287280826.0,2090847214494.0
Tại ngày 31 tháng 12 năm 2024,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,1.808.426.323.303,160.525.185.435,7.338.496.352,3.837.991.796,-,1.980.127.996.886,1808426323303.0,160525185435.0,7338496352.0,3837991796.0,,1980127996886.0
