row_label_raw,row_label_full,Công ty TNHH Phần mềm FPT,2.600.000.000.000,3.100.000.000.000,numeric__2.600.000.000.000,numeric__3.100.000.000.000
Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,1.886.832.751.363,2.712.429.073.956,1886832751363.0,2712429073956.0
Công ty Cổ phần Viễn thông FPT,Công ty Cổ phần Viễn thông FPT,Công ty Cổ phần Viễn thông FPT,449.722.374.000,449.722.374.000,449722374000.0,449722374000.0
Công ty Cổ phần Synnex FPT,Công ty Cổ phần Synnex FPT,Công ty Cổ phần Synnex FPT,285.222.985.000,199.656.089.500,285222985000.0,199656089500.0
Công ty TNHH FPT IS,Công ty TNHH FPT IS,Công ty TNHH FPT IS,250.000.000.000,300.000.000.000,250000000000.0,300000000000.0
Công ty Cổ phần Dịch vụ Trực tuyến FPT,Công ty Cổ phần Dịch vụ Trực tuyến FPT,Công ty Cổ phần Dịch vụ Trực tuyến FPT,8.789.380.000,21.973.450.000,8789380000.0,21973450000.0
Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,-,27.565.500.000,,27565500000.0
,,,5.480.567.490.363,6.811.346.487.456,5480567490363.0,6811346487456.0
