row_label_raw,row_label_full,i),Phải thu ngắn hạn của khách hàng (Thuyết minh 5),31/12/2024VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5),31/12/2023VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5),numeric__Phải thu ngắn hạn của khách hàng (Thuyết minh 5),numeric__31/12/2024VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5),numeric__31/12/2023VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5)
i),i),i),Công ty TNHH Phần mềm FPT,50.365.855.088,31.827.582.736,,50365855088.0,31827582736.0
i),i),i),Công ty Cổ phần Viễn Thông FPT,15.308.069.762,24.037.049.489,,15308069762.0,24037049489.0
i),i),i),Công ty TNHH FPT IS,13.412.734.612,9.986.565.729,,13412734612.0,9986565729.0
i),i),i),Công ty TNHH FPT Digital,6.302.827.550,2.806.937.504,,6302827550.0,2806937504.0
i),i),i),Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,3.051.642.538,2.680.080.835,,3051642538.0,2680080835.0
i),i),i),Công ty TNHH Giáo dục FPT,2.129.489.536,477.868.415,,2129489536.0,477868415.0
i),i),i),Công ty TNHH FPT Smart Cloud,1.243.709.969,4.014.535.606,,1243709969.0,4014535606.0
i),i),i),Công ty Cổ phần Synnex FPT,571.756.803,761.190.396,,571756803.0,761190396.0
i),i),i),Công ty TNHH Đầu tư FPT,347.981.165,3.864.328,,347981165.0,3864328.0
i),i),i),Công ty Cổ phần Dịch vụ Trực tuyến FPT,265.251.442,80.594.693,,265251442.0,80594693.0
i),i),i),,92.999.318.465,76.676.269.731,,92999318465.0,76676269731.0
ii),ii),ii),Phải thu về cho vay ngắn hạn (Thuyết minh 6),Phải thu về cho vay ngắn hạn (Thuyết minh 6),Phải thu về cho vay ngắn hạn (Thuyết minh 6),,,
ii),ii) > ii),ii),Công ty TNHH FPT Digital,16.500.000.000,9.500.000.000,,16500000000.0,9500000000.0
ii),ii) > ii),ii),Công ty TNHH Đầu tư FPT,13.900.000.000,156.400.000.000,,13900000000.0,156400000000.0
ii),ii) > ii),ii),Công ty TNHH FPT Smart Cloud,-,85.000.000.000,,,85000000000.0
ii),ii) > ii),ii),,30.400.000.000,250.900.000.000,,30400000000.0,250900000000.0
iii),iii),iii),Cổ tức/phân phối lợi nhuận phải thu (Thuyết minh 7),Cổ tức/phân phối lợi nhuận phải thu (Thuyết minh 7),Cổ tức/phân phối lợi nhuận phải thu (Thuyết minh 7),,,
iii),iii) > iii),iii),Công ty TNHH Phần mềm FPT,1.600.000.000.000,1.700.000.000.000,,1600000000000.0,1700000000000.0
iii),iii) > iii),iii),Công ty TNHH Giáo dục FPT,1.500.000.000.000,1.500.000.000.000,,1500000000000.0,1500000000000.0
iii),iii) > iii),iii),Công ty TNHH FPT IS,250.000.000.000,300.000.000.000,,250000000000.0,300000000000.0
iii),iii) > iii),iii),,3.350.000.000.000,3.500.000.000.000,,3350000000000.0,3500000000000.0
iv),iv),iv),Phải thu ngắn hạn khác (Thuyết minh 7),Phải thu ngắn hạn khác (Thuyết minh 7),Phải thu ngắn hạn khác (Thuyết minh 7),,,
iv),iv) > iv),iv),Công ty TNHH FPT IS,134.899.329.954,134.899.329.954,,134899329954.0,134899329954.0
iv),iv) > iv),iv),Công ty TNHH Đầu tư FPT,52.123.703.586,53.418.636.684,,52123703586.0,53418636684.0
iv),iv) > iv),iv),Công ty TNHH FPT Digital,116.369.864,65.784.247,,116369864.0,65784247.0
iv),iv) > iv),iv),Công ty TNHH FPT Smart Cloud,-,420.472.599,,,420472599.0
iv),iv) > iv),iv),,187.139.403.404,188.804.223.484,,187139403404.0,188804223484.0
