row_label_raw,row_label_full,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2018,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2018_1,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2018_2,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2018_3,numeric__Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2018_1,numeric__Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2018_2,numeric__Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2018_3
,,,HOSE,HNX,Tổng,,,
Giá trị sô sách,Giá trị sô sách,Giá trị sô sách,1.486.206.068.849,490.853.807.705,1.977.059.876.554,1486206068849.0,490853807705.0,1977059876554.0
Giá trị thị trường,Giá trị thị trường,Giá trị thị trường,1.587.420.190.290,671.453.762.000,2.258.873.952.290,1587420190290.0,671453762000.0,2258873952290.0
"VaR (95%, 1 ngày)","VaR (95%, 1 ngày)","VaR (95%, 1 ngày)",(26.736.021.250),(21.478.451.302),(48.214.472.552),-26736021250.0,-21478451302.0,-48214472552.0
Mức độ đa dạng hóa VaR (95%),Mức độ đa dạng hóa VaR (95%),Mức độ đa dạng hóa VaR (95%),27.223.026.201,4.663.519.612,31.886.545.813,27223026201.0,4663519612.0,31886545813.0
"VaR (95%, 1 tuần)","VaR (95%, 1 tuần)","VaR (95%, 1 tuần)",(59.783.560.963),(48.027.277.163),(107.810.838.126),-59783560963.0,-48027277163.0,-107810838126.0
"VaR (95%, 1 tháng)","VaR (95%, 1 tháng)","VaR (95%, 1 tháng)",(125.403.055.427),(100.742.866.484),(226.145.921.911),-125403055427.0,-100742866484.0,-226145921911.0
"VaR (95%, 1 năm)","VaR (95%, 1 năm)","VaR (95%, 1 năm)",(424.421.179.653),(340.959.844.152),(765.381.023.805),-424421179653.0,-340959844152.0,-765381023805.0
Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2017,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2017,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2017,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2017,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2017,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2017,,,
,,,HOSE,HNX,Tổng,,,
Giá trị sô sách,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2017 > Giá trị sô sách,Giá trị sô sách,1.028.052.819.273,530.790.222.669,1.558.843.041.942,1028052819273.0,530790222669.0,1558843041942.0
Giá trị thị trường,Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2017 > Giá trị thị trường,Giá trị thị trường,1.482.134.443.510,710.787.763.000,2.192.922.206.510,1482134443510.0,710787763000.0,2192922206510.0
"VaR (95%, 1 ngày)","Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2017 > VaR (95%, 1 ngày)","VaR (95%, 1 ngày)",(17.430.884.834),(18.312.420.309),(35.743.305.143),-17430884834.0,-18312420309.0,-35743305143.0
Mức độ đa dạng hóa VaR (95%),Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2017 > Mức độ đa dạng hóa VaR (95%),Mức độ đa dạng hóa VaR (95%),25.567.371.110,11.530.464.047,37.097.835.157,25567371110.0,11530464047.0,37097835157.0
"VaR (95%, 1 tuần)","Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2017 > VaR (95%, 1 tuần)","VaR (95%, 1 tuần)",(38.976.643.396),(40.947.816.644),(79.924.460.040),-38976643396.0,-40947816644.0,-79924460040.0
"VaR (95%, 1 tháng)","Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2017 > VaR (95%, 1 tháng)","VaR (95%, 1 tháng)",(81.758.096.931),(85.892.864.818),(167.650.961.749),-81758096931.0,-85892864818.0,-167650961749.0
"VaR (95%, 1 năm)","Giá trị rủi ro của danh mụccổ phiếu niêm yết tại ngày 31tháng 12 năm 2017 > VaR (95%, 1 năm)","VaR (95%, 1 năm)",(276.706.718.410),(290.700.660.248),(567.407.378.658),-276706718410.0,-290700660248.0,-567407378658.0
