row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữuVND,Thắng dưvốn cổ phầnVND,Chênh lệchtỷ giả hối đoái (°)VND,Quỹ đầu tưphát triển vàđư phòng tài chínhVND,Quỹ khác thuộc vốnchủ sở hữu (**)VND,Lợi nhuậnsau thuếchưa phân phốiVND,Quỹ dự trữbắt buộc hoạt độngbảo hiểmVND,Lợi ích cổ đôngkhông kiểm soátVND,Tổng cộngVND,numeric__Vốn góp củachủ sở hữuVND,numeric__Thắng dưvốn cổ phầnVND,numeric__Chênh lệchtỷ giả hối đoái (°)VND,numeric__Quỹ đầu tưphát triển vàđư phòng tài chínhVND,numeric__Quỹ khác thuộc vốnchủ sở hữu (**)VND,numeric__Lợi nhuậnsau thuếchưa phân phốiVND,numeric__Quỹ dự trữbắt buộc hoạt độngbảo hiểmVND,numeric__Lợi ích cổ đôngkhông kiểm soátVND,numeric__Tổng cộngVND
Tại ngày 01 tháng 01 năm2017 (trình bày lại),Tại ngày 01 tháng 01 năm2017 (trình bày lại),Tại ngày 01 tháng 01 năm2017 (trình bày lại),6.804.714.340.000,3.184.332.381.197,15.445.192.000,301.301.554.536,103.568.802.818,2.274.044.947.628,333.123.774.337,655.920.177.506,13.672.451.170.022,6804714340000.0,3184332381197.0,15445192000.0,301301554536.0,103568802818.0,2274044947628.0,333123774337.0,655920177506.0,13672451170022.0
Cổ tức chia cho cổ đôngTrích quỹ khen thưởngphúc lợi,Cổ tức chia cho cổ đôngTrích quỹ khen thưởngphúc lợi,Cổ tức chia cho cổ đôngTrích quỹ khen thưởngphúc lợi,-,-,-,-,-,(680.471.434.000),-,-,(680.471.434.000),,,,,,-680471434000.0,,,-680471434000.0
Cổ tức chia cho cổ đôngTrích quỹ khen thưởngphúc lợi,Cổ tức chia cho cổ đôngTrích quỹ khen thưởngphúc lợi,Cổ tức chia cho cổ đôngTrích quỹ khen thưởngphúc lợi,-,-,-,-,-,(112.267.184.975),-,(2.216.600.034),(114.483.785.009),,,,,,-112267184975.0,,-2216600034.0,-114483785009.0
Của công ty mẹ,Của công ty mẹ,Của công ty mẹ,-,-,-,-,-,(59.262.609.891),-,-,(59.262.609.891),,,,,,-59262609891.0,,,-59262609891.0
Của các công ty con,Của các công ty con,Của các công ty con,-,-,-,-,-,(53.004.575.084),-,(2.216.600.034),(55.221.175.118),,,,,,-53004575084.0,,-2216600034.0,-55221175118.0
Trích quỹ phục vụ hoạtđồng An sinh xã hộiTrích lập quỹ đầu tư pháttriển,Trích quỹ phục vụ hoạtđồng An sinh xã hộiTrích lập quỹ đầu tư pháttriển,Trích quỹ phục vụ hoạtđồng An sinh xã hộiTrích lập quỹ đầu tư pháttriển,-,-,-,-,-,(10.217.691.361),-,-,(10.217.691.361),,,,,,-10217691361.0,,,-10217691361.0
Trích quỹ phục vụ hoạtđồng An sinh xã hộiTrích lập quỹ đầu tư pháttriển,Trích quỹ phục vụ hoạtđồng An sinh xã hộiTrích lập quỹ đầu tư pháttriển,Trích quỹ phục vụ hoạtđồng An sinh xã hộiTrích lập quỹ đầu tư pháttriển,-,-,-,158.512.591.120,-,(158.512.591.120),-,-,-,,,,158512591120.0,,-158512591120.0,,,
Của công ty mẹ,Của công ty mẹ,Của công ty mẹ,-,-,-,153.265.370.408,-,(153.265.370.408),-,-,-,,,,153265370408.0,,-153265370408.0,,,
Của các công ty con,Của các công ty con,Của các công ty con,-,-,-,5.247.220.712,-,(5.247.220.712),-,-,-,,,,5247220712.0,,-5247220712.0,,,
Lợi nhuận tăng trong nằmChi trả thù lao Hội đồngQuán trị và Ban Kiểm soátcủa Tập đoàn và các Côngty con,Lợi nhuận tăng trong nằmChi trả thù lao Hội đồngQuán trị và Ban Kiểm soátcủa Tập đoàn và các Côngty con,Lợi nhuận tăng trong nằmChi trả thù lao Hội đồngQuán trị và Ban Kiểm soátcủa Tập đoàn và các Côngty con,-,-,-,-,-,1.562.961.600.209,-,47.642.826.701,1.610.604.426.910,,,,,,1562961600209.0,,47642826701.0,1610604426910.0
Lợi nhuận tăng trong nằmChi trả thù lao Hội đồngQuán trị và Ban Kiểm soátcủa Tập đoàn và các Côngty con,Lợi nhuận tăng trong nằmChi trả thù lao Hội đồngQuán trị và Ban Kiểm soátcủa Tập đoàn và các Côngty con,Lợi nhuận tăng trong nằmChi trả thù lao Hội đồngQuán trị và Ban Kiểm soátcủa Tập đoàn và các Côngty con,-,-,-,-,-,(4.369.609.512),-,-,(4.369.609.512),,,,,,-4369609512.0,,,-4369609512.0
Trích lập các quỹ dự phòngtài chính,Trích lập các quỹ dự phòngtài chính,Trích lập các quỹ dự phòngtài chính,-,-,-,4.963.188.108,-,(57.214.406.436),52.251.218.328,-,-,,,,4963188108.0,,-57214406436.0,52251218328.0,,
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,(12.344.626.309),-,(346.805.033),(12.691.431.342),,,,,,-12344626309.0,,-346805033.0,-12691431342.0
Tại ngày 31 tháng 12 năm2017,Tại ngày 31 tháng 12 năm2017,Tại ngày 31 tháng 12 năm2017,6.804.714.340.000,3.184.332.381.197,15.445.192.000,464.777.333.764,103.568.802.818,2.801.609.004.124,385.374.992.665,700.999.599.140,14.460.821.645.708,6804714340000.0,3184332381197.0,15445192000.0,464777333764.0,103568802818.0,2801609004124.0,385374992665.0,700999599140.0,14460821645708.0
