row_label_raw,row_label_full,col_0,Chưa quá hạn vàkhông giảm giá trịVND,Quá hạn nhungkhông giảm giá trịriêng lẻVND,Bị giảm giá trịriêng lẻ (*)VND,TổngVND,numeric__Chưa quá hạn vàkhông giảm giá trịVND,numeric__Quá hạn nhungkhông giảm giá trịriêng lẻVND,numeric__Bị giảm giá trịriêng lẻ (*)VND,numeric__TổngVND
TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,,,,
Tiền và các khoản tương đương tiền,TẢI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,2.159.930.729.474,-,-,2.159.930.729.474,2159930729474.0,,,2159930729474.0
Phải thu hoạt động bảo hiểm gốc,TẢI SẢN > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,1.289.090.421.436,94.317.405.767,15.180.331.725,1.398.588.158.928,1289090421436.0,94317405767.0,15180331725.0,1398588158928.0
Phải thu tái bảo hiểm,TẢI SẢN > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,733.763.126.506,-,-,733.763.126.506,733763126506.0,,,733763126506.0
Tài sản tái bảo hiểm,TẢI SẢN > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,3.340.281.368.616,-,-,3.340.281.368.616,3340281368616.0,,,3340281368616.0
Các khoản phải thu khác,TẢI SẢN > Các khoản phải thu khác,Các khoản phải thu khác,101.531.814.973,-,-,101.531.814.973,101531814973.0,,,101531814973.0
"- Các khoản cẩm cố, ký quỹ, ký cược","TẢI SẢN > - Các khoản cẩm cố, ký quỹ, ký cược","- Các khoản cẩm cố, ký quỹ, ký cược",75.863.179.573,-,-,75.863.179.573,75863179573.0,,,75863179573.0
- Phải thu cố tức,TẢI SẢN > - Phải thu cố tức,- Phải thu cố tức,25.668.635.400,-,-,25.668.635.400,25668635400.0,,,25668635400.0
Đầu tư nằm giữ đến ngày đáo hạn,TẢI SẢN > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,92.232.016.090.410,-,94.950.463.300,92.326.966.553.710,92232016090410.0,,94950463300.0,92326966553710.0
- Hợp đồng tiền gửi có ký hạn,TẢI SẢN > - Hợp đồng tiền gửi có ký hạn,- Hợp đồng tiền gửi có ký hạn,57.993.448.524.143,-,-,57.993.448.524.143,57993448524143.0,,,57993448524143.0
- Trái phiếu,TẢI SẢN > - Trái phiếu,- Trái phiếu,34.238.567.566.267,-,94.950.463.300,34.333.518.029.567,34238567566267.0,,94950463300.0,34333518029567.0
Chứng khoán kinh doanh,TẢI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,150.026.959.200,-,-,150.026.959.200,150026959200.0,,,150026959200.0
- Trái phiếu,TẢI SẢN > - Trái phiếu,- Trái phiếu,150.026.959.200,-,-,150.026.959.200,150026959200.0,,,150026959200.0
Các khoản cho vay và tạm ứng cho khách hàng,TẢI SẢN > Các khoản cho vay và tạm ứng cho khách hàng,Các khoản cho vay và tạm ứng cho khách hàng,1.923.195.580.683,2.039.129.969,1.529.979.110,1.926.764.689.762,1923195580683.0,2039129969.0,1529979110.0,1926764689762.0
Các tài sản khác,TẢI SẢN > Các tài sản khác,Các tài sản khác,433.677.721.415,4.311.928.079,2.419.833.017,440.409.482.511,433677721415.0,4311928079.0,2419833017.0,440409482511.0
TỔNG CỘNG,TẢI SẢN > TỔNG CỘNG,TỔNG CỘNG,102.363.513.812.713,100.668.463.815,114.080.607.152,102.578.262.883.680,102363513812713.0,100668463815.0,114080607152.0,102578262883680.0
