row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2018VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2017(trình bày lại)VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2018VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2017(trình bày lại)VND
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,
Chi trả đáo hạn,Bảo hiểm nhân thọ > Chi trả đáo hạn,Chi trả đáo hạn,1.696.617.319.531,1.697.829.838.185,1696617319531.0,1697829838185.0
Chi giá trị hoàn lại,Bảo hiểm nhân thọ > Chi giá trị hoàn lại,Chi giá trị hoàn lại,1.748.103.013.475,1.017.493.525.512,1748103013475.0,1017493525512.0
Chi trả quyền lợi bảo hiểm rủi ro và chi trả kháctheo hợp đồng bảo hiểm,Bảo hiểm nhân thọ > Chi trả quyền lợi bảo hiểm rủi ro và chi trả kháctheo hợp đồng bảo hiểm,Chi trả quyền lợi bảo hiểm rủi ro và chi trả kháctheo hợp đồng bảo hiểm,2.564.390.049.462,2.056.472.631.427,2564390049462.0,2056472631427.0
,,,6.009.110.382.468,4.771.795.995.124,6009110382468.0,4771795995124.0
Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,,
Bảo hiểm trách nhiệm,Bảo hiểm phi nhân thọ > Bảo hiểm trách nhiệm,Bảo hiểm trách nhiệm,303.149.115.061,256.576.139.162,303149115061.0,256576139162.0
Bảo hiểm tài sản,Bảo hiểm phi nhân thọ > Bảo hiểm tài sản,Bảo hiểm tài sản,3.275.959.598.041,2.033.859.596.983,3275959598041.0,2033859596983.0
Bảo hiểm con người,Bảo hiểm phi nhân thọ > Bảo hiểm con người,Bảo hiểm con người,1.841.486.116.875,1.400.263.565.555,1841486116875.0,1400263565555.0
,,,5.420.594.829.977,3.690.699.301.700,5420594829977.0,3690699301700.0
,,,11.429.705.212.445,8.462.495.296.824,11429705212445.0,8462495296824.0
