row_label_raw,row_label_full,col_0,Dư phòng toán học VND,Dư phòng phí chưa được hưởng VND,Dư phòng bồi thường (trình bày lại) VND,Dư phòng chia lãi VND,Dư phòng lãi cam kết đầu tư tối thiểu VND,Dư phòng đảm bảo cân đối VND,Dư phòng dao động lớn VND,Tổng cộng VND,numeric__Dư phòng toán học VND,numeric__Dư phòng phí chưa được hưởng VND,numeric__Dư phòng bồi thường (trình bày lại) VND,numeric__Dư phòng chia lãi VND,numeric__Dư phòng lãi cam kết đầu tư tối thiểu VND,numeric__Dư phòng đảm bảo cân đối VND,numeric__Dư phòng dao động lớn VND,numeric__Tổng cộng VND
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,,,,,,,
Tại ngày 01 tháng 01 năm 2018,Bảo hiểm nhân thọ > Tại ngày 01 tháng 01 năm 2018,Tại ngày 01 tháng 01 năm 2018,46.210.980.584.316,134.863.501.600,27.626.905.368,1.429.375.103.187,-,74.832.260.436,-,47.877.678.354.907,46210980584316.0,134863501600.0,27626905368.0,1429375103187.0,,74832260436.0,,47877678354907.0
Thay đổi trong năm,Bảo hiểm nhân thọ > Thay đổi trong năm,Thay đổi trong năm,14.104.161.089.076,23.175.594.155,12.592.258.127,149.780.059.365,963.717.898.004,9.660.399.847,-,15.263.087.298.574,14104161089076.0,23175594155.0,12592258127.0,149780059365.0,963717898004.0,9660399847.0,,15263087298574.0
Tại ngày 31 tháng 12 năm 2018,Bảo hiểm nhân thọ > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,60.315.141.673.392,158.039.095.755,40.219.163.495,1.579.155.162.552,963.717.898.004,84.492.660.283,-,63.140.765.653.481,60315141673392.0,158039095755.0,40219163495.0,1579155162552.0,963717898004.0,84492660283.0,,63140765653481.0
Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,,,,,,,,
Tại ngày 01 tháng 01 năm 2018,Bảo hiểm phi nhân thọ > Tại ngày 01 tháng 01 năm 2018,Tại ngày 01 tháng 01 năm 2018,-,4.225.419.830.577,2.383.354.558.616,-,-,-,23.172.011.377,6.631.946.400.570,,4225419830577.0,2383354558616.0,,,,23172011377.0,6631946400570.0
Thay đổi trong năm,Bảo hiểm phi nhân thọ > Thay đổi trong năm,Thay đổi trong năm,-,718.044.758.203,703.494.093.684,-,-,31.183.891.186,48.518.203.686,1.501.240.946.759,,718044758203.0,703494093684.0,,,31183891186.0,48518203686.0,1501240946759.0
Tại ngày 31 tháng 12 năm 2018,Bảo hiểm phi nhân thọ > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,-,4.943.464.588.780,3.086.848.652.300,-,-,31.183.891.186,71.690.215.063,8.133.187.347.329,,4943464588780.0,3086848652300.0,,,31183891186.0,71690215063.0,8133187347329.0
Tổng cộng số dư đầu năm,Bảo hiểm phi nhân thọ > Tổng cộng số dư đầu năm,Tổng cộng số dư đầu năm,46.210.980.584.316,4.360.283.332.177,2.410.981.463.984,1.429.375.103.187,-,74.832.260.436,23.172.011.377,54.509.624.755.477,46210980584316.0,4360283332177.0,2410981463984.0,1429375103187.0,,74832260436.0,23172011377.0,54509624755477.0
Thay đổi trong năm,Bảo hiểm phi nhân thọ > Thay đổi trong năm,Thay đổi trong năm,14.104.161.089.076,741.220.352.358,716.086.351.811,149.780.059.365,963.717.898.004,40.844.291.033,48.518.203.686,16.764.328.245.333,14104161089076.0,741220352358.0,716086351811.0,149780059365.0,963717898004.0,40844291033.0,48518203686.0,16764328245333.0
Tổng cộng số dư cuối năm,Bảo hiểm phi nhân thọ > Tổng cộng số dư cuối năm,Tổng cộng số dư cuối năm,60.315.141.673.392,5.101.503.684.535,3.127.067.815.795,1.579.155.162.552,963.717.898.004,115.676.551.469,71.690.215.063,71.273.953.000.810,60315141673392.0,5101503684535.0,3127067815795.0,1579155162552.0,963717898004.0,115676551469.0,71690215063.0,71273953000810.0
