row_label_raw,row_label_full,CHỈ TIÊU > Năm bồi thường,2014 > 1,Năm tổn thất > 2015 > 2,Năm tổn thất > 2016 > 3,Năm tổn thất > 2017 > 4,Năm tổn thất > 2018 > 5,Năm tổn thất > Tổng số > 6,numeric__2014 > 1,numeric__Năm tổn thất > 2015 > 2,numeric__Năm tổn thất > 2016 > 3,numeric__Năm tổn thất > 2017 > 4,numeric__Năm tổn thất > 2018 > 5,numeric__Năm tổn thất > Tổng số > 6
I. Số ước tính chỉ bồi thường lũy kế,I. Số ước tính chỉ bồi thường lũy kế,I. Số ước tính chỉ bồi thường lũy kế,,,,,,,,,,,,
1,I. Số ước tính chỉ bồi thường lũy kế > 1,1,2.185.788,2.253.392,2.434.993,2.954.365,3.911.010,,2185788.0,2253392.0,2434993.0,2954365.0,3911010.0,
2,I. Số ước tính chỉ bồi thường lũy kế > 2,2,2.460.336,2.488.702,2.605.523,3.692.788,,,2460336.0,2488702.0,2605523.0,3692788.0,,
3,I. Số ước tính chỉ bồi thường lũy kế > 3,3,2.554.107,2.463.222,2.450.031,,,,2554107.0,2463222.0,2450031.0,,,
4,I. Số ước tính chỉ bồi thường lũy kế > 4,4,2.525.125,2.482.989,,,,,2525125.0,2482989.0,,,,
5,I. Số ước tính chỉ bồi thường lũy kế > 5,5,2.546.209,,,,,,2546209.0,,,,,
Số ước tính chỉ bồi thường lũy kế đến năm hiện tại (1),I. Số ước tính chỉ bồi thường lũy kế > Số ước tính chỉ bồi thường lũy kế đến năm hiện tại (1),Số ước tính chỉ bồi thường lũy kế đến năm hiện tại (1),2.546.209,2.482.989,2.450.031,3.692.788,3.911.010,15.083.027,2546209.0,2482989.0,2450031.0,3692788.0,3911010.0,15083027.0
II. Số đã chi trả bồi thường lũy kế,II. Số đã chi trả bồi thường lũy kế,II. Số đã chi trả bồi thường lũy kế,,,,,,,,,,,,
1,II. Số đã chi trả bồi thường lũy kế > 1,1,1.853.594,1.866.434,1.992.373,2.424.100,2.757.013,,1853594.0,1866434.0,1992373.0,2424100.0,2757013.0,
2,II. Số đã chi trả bồi thường lũy kế > 2,2,2.321.785,2.407.885,2.364.512,3.294.708,,,2321785.0,2407885.0,2364512.0,3294708.0,,
3,II. Số đã chi trả bồi thường lũy kế > 3,3,2.508.158,2.424.751,2.409.102,,,,2508158.0,2424751.0,2409102.0,,,
4,II. Số đã chi trả bồi thường lũy kế > 4,4,2.512.399,2.459.073,,,,,2512399.0,2459073.0,,,,
5,II. Số đã chi trả bồi thường lũy kế > 5,5,2.530.983,,,,,,2530983.0,,,,,
Số đã chi trả bồi thường lũy kế đến năm hiện tại (2),II. Số đã chi trả bồi thường lũy kế > Số đã chi trả bồi thường lũy kế đến năm hiện tại (2),Số đã chi trả bồi thường lũy kế đến năm hiện tại (2),2.530.983,2.459.073,2.409.102,3.294.708,2.757.013,13.450.879,2530983.0,2459073.0,2409102.0,3294708.0,2757013.0,13450879.0
III. Tổng dự phòng bồi thường chưa giải quyết (3) = (1) - (2),II. Số đã chi trả bồi thường lũy kế > III. Tổng dự phòng bồi thường chưa giải quyết (3) = (1) - (2),III. Tổng dự phòng bồi thường chưa giải quyết (3) = (1) - (2),15.226,23.916,40.929,398.080,1.153.997,1.632.148,15226.0,23916.0,40929.0,398080.0,1153997.0,1632148.0
IV. Uốc thăng dự hoặc thâm hụt dự phòng bồi thường (4),II. Số đã chi trả bồi thường lũy kế > IV. Uốc thăng dự hoặc thâm hụt dự phòng bồi thường (4),IV. Uốc thăng dự hoặc thâm hụt dự phòng bồi thường (4),(360.421),(229.597),(15.038),(738.423),-,,-360421.0,-229597.0,-15038.0,-738423.0,,
V. Tỷ lệ % thăng dự/thâm hụt) dự phòng trên số ước tính chỉ bồi thường (5) = (4)/(1)*100%,II. Số đã chi trả bồi thường lũy kế > V. Tỷ lệ % thăng dự/thâm hụt) dự phòng trên số ước tính chỉ bồi thường (5) = (4)/(1)*100%,V. Tỷ lệ % thăng dự/thâm hụt) dự phòng trên số ước tính chỉ bồi thường (5) = (4)/(1)*100%,-14%,-9%,-1%,-20%,,,-0.14,-0.09,-0.01,-0.2,,
