row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Nguyên giá VND,Giá trị ghi sổ > Dự phòng giảm giá trị VND,Giá trị ghi sổ > Giá trị thuần VND,Giá trị ghi sổ > Giá trị hợp lý VND,numeric__Giá trị ghi sổ > Nguyên giá VND,numeric__Giá trị ghi sổ > Dự phòng giảm giá trị VND,numeric__Giá trị ghi sổ > Giá trị thuần VND,numeric__Giá trị ghi sổ > Giá trị hợp lý VND
TÀI SẢN TÀI CHÍNH (trình bày lại),TÀI SẢN TÀI CHÍNH (trình bày lại),TÀI SẢN TÀI CHÍNH (trình bày lại),TÀI SẢN TÀI CHÍNH (trình bày lại),TÀI SẢN TÀI CHÍNH (trình bày lại),TÀI SẢN TÀI CHÍNH (trình bày lại),TÀI SẢN TÀI CHÍNH (trình bày lại),,,,
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN TÀI CHÍNH (trình bày lại) > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,71.989.817.169.234,(927.451.389.901),71.062.365.779.333,78.250.707.417.479,71989817169234.0,-927451389901.0,71062365779333.0,78250707417479.0
- Hợp đồng tiền gửi có kỳ hạn,TÀI SẢN TÀI CHÍNH (trình bày lại) > - Hợp đồng tiền gửi có kỳ hạn,- Hợp đồng tiền gửi có kỳ hạn,31.485.592.116.251,(442.600.000.000),31.042.992.116.251,31.290.629.766.821,31485592116251.0,-442600000000.0,31042992116251.0,31290629766821.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH (trình bày lại) > - Trái phiếu,- Trái phiếu,40.504.225.052.983,(484.851.389.901),40.019.373.663.082,46.960.077.650.658,40504225052983.0,-484851389901.0,40019373663082.0,46960077650658.0
Chứng khoán kinh doanh,TÀI SẢN TÀI CHÍNH (trình bày lại) > Chứng khoán kinh doanh,Chứng khoán kinh doanh,2.648.743.079.467,(297.888.188.831),2.350.854.890.636,3.116.290.259.370,2648743079467.0,-297888188831.0,2350854890636.0,3116290259370.0
- Cổ phiếu niêm yết,TÀI SẢN TÀI CHÍNH (trình bày lại) > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,1.533.291.508.690,(203.240.899.012),1.330.050.609.678,2.032.940.766.510,1533291508690.0,-203240899012.0,1330050609678.0,2032940766510.0
- Cổ phiếu chưa niêm yết,TÀI SẢN TÀI CHÍNH (trình bày lại) > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,766.411.545.643,(94.647.289.819),671.764.255.824,637.667.617.769,766411545643.0,-94647289819.0,671764255824.0,637667617769.0
- Chứng chỉ quỹ,TÀI SẢN TÀI CHÍNH (trình bày lại) > - Chứng chỉ quỹ,- Chứng chỉ quỹ,229.013.065.934,-,229.013.065.934,323.860.300.000,229013065934.0,,229013065934.0,323860300000.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH (trình bày lại) > - Trái phiếu,- Trái phiếu,120.026.959.200,-,120.026.959.200,121.821.575.091,120026959200.0,,120026959200.0,121821575091.0
Đầu tư tài chính khác,TÀI SẢN TÀI CHÍNH (trình bày lại) > Đầu tư tài chính khác,Đầu tư tài chính khác,247.952.379.767,(32.058.951.774),215.893.427.993,402.107.099.197,247952379767.0,-32058951774.0,215893427993.0,402107099197.0
Cho vay và tạm ứng cho khách hàng,TÀI SẢN TÀI CHÍNH (trình bày lại) > Cho vay và tạm ứng cho khách hàng,Cho vay và tạm ứng cho khách hàng,1.626.740.991.036,(101.805.417.015),1.524.935.574.021,1.524.935.574.021,1626740991036.0,-101805417015.0,1524935574021.0,1524935574021.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN TÀI CHÍNH (trình bày lại) > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,1.467.867.723.614,(243.766.620.259),1.224.101.103.355,1.209.078.168.609,1467867723614.0,-243766620259.0,1224101103355.0,1209078168609.0
Phải thu tài bảo hiểm,TÀI SẢN TÀI CHÍNH (trình bày lại) > Phải thu tài bảo hiểm,Phải thu tài bảo hiểm,894.356.442.341,-,894.356.442.341,882.315.476.671,894356442341.0,,894356442341.0,882315476671.0
Tài sản tài bảo hiểm,TÀI SẢN TÀI CHÍNH (trình bày lại) > Tài sản tài bảo hiểm,Tài sản tài bảo hiểm,2.344.654.814.506,-,2.344.654.814.506,2.344.654.814.506,2344654814506.0,,2344654814506.0,2344654814506.0
Phải thu khác,TÀI SẢN TÀI CHÍNH (trình bày lại) > Phải thu khác,Phải thu khác,572.322.775.726,(51.458.599.929),520.864.175.797,520.864.175.797,572322775726.0,-51458599929.0,520864175797.0,520864175797.0
"- Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN TÀI CHÍNH (trình bày lại) > - Các khoản cầm cố, ký quỹ, ký cược","- Các khoản cầm cố, ký quỹ, ký cược",83.911.466.370,-,83.911.466.370,83.911.466.370,83911466370.0,,83911466370.0,83911466370.0
- Phải thu cố tức,TÀI SẢN TÀI CHÍNH (trình bày lại) > - Phải thu cố tức,- Phải thu cố tức,29.933.160.274,-,29.933.160.274,29.933.160.274,29933160274.0,,29933160274.0,29933160274.0
- Khác,TÀI SẢN TÀI CHÍNH (trình bày lại) > - Khác,- Khác,458.478.149.082,(51.458.599.929),407.019.549.153,407.019.549.153,458478149082.0,-51458599929.0,407019549153.0,407019549153.0
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH (trình bày lại) > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,3.789.197.489.323,-,3.789.197.489.323,3.789.197.489.323,3789197489323.0,,3789197489323.0,3789197489323.0
