row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2018,Giá trị ghi số VND > Ngày 31 tháng 12 năm 2018,Giá trị hợp lý VND > Ngày 31 tháng 12 năm 2018,numeric__Giá trị ghi số VND > Ngày 31 tháng 12 năm 2018,numeric__Giá trị hợp lý VND > Ngày 31 tháng 12 năm 2018
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,
Nghĩa vụ nợ theo hợp đồng bảo hiểm,Nợ phải trả tài chính > Nghĩa vụ nợ theo hợp đồng bảo hiểm,Nghĩa vụ nợ theo hợp đồng bảo hiểm,66.087.956.655.992,66.087.956.655.992,66087956655992.0,66087956655992.0
Phải trả hoạt động bảo hiểm gốc,Nợ phải trả tài chính > Phải trả hoạt động bảo hiểm gốc,Phải trả hoạt động bảo hiểm gốc,1.142.729.073.281,1.142.729.073.281,1142729073281.0,1142729073281.0
Phải trả tái bảo hiểm,Nợ phải trả tài chính > Phải trả tái bảo hiểm,Phải trả tái bảo hiểm,1.310.823.551.175,1.310.823.551.175,1310823551175.0,1310823551175.0
Các nghĩa vụ nợ tài chính khác,Nợ phải trả tài chính > Các nghĩa vụ nợ tài chính khác,Các nghĩa vụ nợ tài chính khác,21.461.362.873.515,21.461.362.873.515,21461362873515.0,21461362873515.0
- Nhận ký quỹ,Nợ phải trả tài chính > - Nhận ký quỹ,- Nhận ký quỹ,189.090.539.440,189.090.539.440,189090539440.0,189090539440.0
- Khác,Nợ phải trả tài chính > - Khác,- Khác,21.272.272.334.075,21.272.272.334.075,21272272334075.0,21272272334075.0
Tổng cộng,Nợ phải trả tài chính > Tổng cộng,Tổng cộng,90.002.872.153.963,90.002.872.153.963,90002872153963.0,90002872153963.0
Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,,
Nợ phải trả tài chính (trình bày lại),Nợ phải trả tài chính (trình bày lại),Nợ phải trả tài chính (trình bày lại),Nợ phải trả tài chính (trình bày lại),Nợ phải trả tài chính (trình bày lại),,
Nghĩa vụ nợ theo hợp đồng bảo hiểm,Nợ phải trả tài chính (trình bày lại) > Nghĩa vụ nợ theo hợp đồng bảo hiểm,Nghĩa vụ nợ theo hợp đồng bảo hiểm,50.074.509.162.864,50.074.509.162.864,50074509162864.0,50074509162864.0
Phải trả hoạt động bảo hiểm gốc,Nợ phải trả tài chính (trình bày lại) > Phải trả hoạt động bảo hiểm gốc,Phải trả hoạt động bảo hiểm gốc,996.954.848.704,996.954.848.704,996954848704.0,996954848704.0
Phải trả tái bảo hiểm,Nợ phải trả tài chính (trình bày lại) > Phải trả tái bảo hiểm,Phải trả tái bảo hiểm,1.525.028.147.960,1.525.028.147.960,1525028147960.0,1525028147960.0
Các nghĩa vụ nợ tài chính khác,Nợ phải trả tài chính (trình bày lại) > Các nghĩa vụ nợ tài chính khác,Các nghĩa vụ nợ tài chính khác,18.064.680.520.526,18.064.680.520.526,18064680520526.0,18064680520526.0
- Nhận ký quỹ,Nợ phải trả tài chính (trình bày lại) > - Nhận ký quỹ,- Nhận ký quỹ,133.289.291.125,133.289.291.125,133289291125.0,133289291125.0
- Khác,Nợ phải trả tài chính (trình bày lại) > - Khác,- Khác,17.931.391.229.401,17.931.391.229.401,17931391229401.0,17931391229401.0
Tổng cộng,Nợ phải trả tài chính (trình bày lại) > Tổng cộng,Tổng cộng,70.661.172.680.054,70.661.172.680.054,70661172680054.0,70661172680054.0
