row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữuVND,Thặng dưvốn cổ phầnVND,Chênh lệchtỷ giá hối đoái (*)(*)VND,Quỹ đầu tưphát triển vàdự phòng tài chínhVND,Quỹ khác thuộc vốnchủ sở hữu (**)VND,Lợi nhuậnsau thuếchưa phần phốiVND,Quỹ dự trữbắt buộc hoạt độngbảo hiểmVND,Lợi ích cổ đôngkhông kiểm soátVND,Tổng cộngVND,numeric__Vốn góp củachủ sở hữuVND,numeric__Thặng dưvốn cổ phầnVND,numeric__Chênh lệchtỷ giá hối đoái (*)(*)VND,numeric__Quỹ đầu tưphát triển vàdự phòng tài chínhVND,numeric__Quỹ khác thuộc vốnchủ sở hữu (**)VND,numeric__Lợi nhuậnsau thuếchưa phần phốiVND,numeric__Quỹ dự trữbắt buộc hoạt độngbảo hiểmVND,numeric__Lợi ích cổ đôngkhông kiểm soátVND,numeric__Tổng cộngVND
Tại ngày 01 tháng 01 năm2018 (trình bày lại),Tại ngày 01 tháng 01 năm2018 (trình bày lại),Tại ngày 01 tháng 01 năm2018 (trình bày lại),6.804.714.340.000,3.184.332.381.197,15.445.192.000,464.777.333.764,103.568.802.818,2.801.609.004.124,385.374.992.665,700.999.599.140,14.460.821.645.708,6804714340000.0,3184332381197.0,15445192000.0,464777333764.0,103568802818.0,2801609004124.0,385374992665.0,700999599140.0,14460821645708.0
"Tăng vốn theo chươngtrình lựa chọn cho ngườilạo động (""ESOP"")","Tăng vốn theo chươngtrình lựa chọn cho ngườilạo động (""ESOP"")","Tăng vốn theo chươngtrình lựa chọn cho ngườilạo động (""ESOP"")",204.150.000.000,528.748.500.000,-,-,-,(700.886.434.000),-,-,732.898.500.000(700.886.434.000),204150000000.0,528748500000.0,,,,-700886434000.0,,,
Cổ tức chia cho cổ đôngTrích quỹ khen thườngphúc lợi,Cổ tức chia cho cổ đôngTrích quỹ khen thườngphúc lợi,Cổ tức chia cho cổ đôngTrích quỹ khen thườngphúc lợi,-,-,-,-,-,(109.933.046.289),-,(2.443.207.134),(112.376.253.423)(38.048.025.748),,,,,,-109933046289.0,,-2443207134.0,
Của công ty mẹ (***),Của công ty mẹ (***),Của công ty mẹ (***),-,-,-,-,-,(38.048.025.748),-,-,-,,,,,,-38048025748.0,,,
Của các công ty conTrích quỹ phục vu hoatđộng An sinh xã hội,Của các công ty conTrích quỹ phục vu hoatđộng An sinh xã hội,Của các công ty conTrích quỹ phục vu hoatđộng An sinh xã hội,-,-,-,-,-,(71.885.020.541),-,(2.443.207.134),(74.328.227.675),,,,,,-71885020541.0,,-2443207134.0,-74328227675.0
Của công ty mẹ (***),Của công ty mẹ (***),Của công ty mẹ (***),-,-,-,-,-,(22.469.994.299),-,-,(22.469.994.299)(10.261.983.299),,,,,,-22469994299.0,,,
Của các công ty conTrích lập quỹ đầu tư pháttriển,Của các công ty conTrích lập quỹ đầu tư pháttriển,Của các công ty conTrích lập quỹ đầu tư pháttriển,-,-,-,-,-,(10.261.983.299),-,-,(10.261.983.299)(12.208.011.000),,,,,,-10261983299.0,,,
Của công ty mẹ (***),Của công ty mẹ (***),Của công ty mẹ (***),-,-,-,160.423.506.451,-,(160.423.506.451),-,-,-,,,,160423506451.0,,-160423506451.0,,,
Của các công ty conLợi nhuận tăng trong nămChi trả thu lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty conTrích lập các quỹ dư trữMua lại phần lợi ích từ cổđồng không kiểm soátKhác,Của các công ty conLợi nhuận tăng trong nămChi trả thu lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty conTrích lập các quỹ dư trữMua lại phần lợi ích từ cổđồng không kiểm soátKhác,Của các công ty conLợi nhuận tăng trong nămChi trả thu lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty conTrích lập các quỹ dư trữMua lại phần lợi ích từ cổđồng không kiểm soátKhác,-,-,-,153.929.749.4906.493.756.961,-,(153.929.749.490)(6.493.756.961),-,-,-,,,,1.5392974949064937e+21,,,,,
Của các công ty conLợi nhuận tăng trong nămChi trả thu lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty conTrích lập các quỹ dư trữMua lại phần lợi ích từ cổđồng không kiểm soátKhác,Của các công ty conLợi nhuận tăng trong nămChi trả thu lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty conTrích lập các quỹ dư trữMua lại phần lợi ích từ cổđồng không kiểm soátKhác,Của các công ty conLợi nhuận tăng trong nămChi trả thu lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty conTrích lập các quỹ dư trữMua lại phần lợi ích từ cổđồng không kiểm soátKhác,-,-,-,-,-,1.114.494.454.004,-,49.042.547.948,1.163.537.001.952,,,,,,1114494454004.0,,49042547948.0,1163537001952.0
Của các công ty conLợi nhuận tăng trong nămChi trả thu lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty conTrích lập các quỹ dư trữMua lại phần lợi ích từ cổđồng không kiểm soátKhác,Của các công ty conLợi nhuận tăng trong nămChi trả thu lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty conTrích lập các quỹ dư trữMua lại phần lợi ích từ cổđồng không kiểm soátKhác,Của các công ty conLợi nhuận tăng trong nămChi trả thu lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty conTrích lập các quỹ dư trữMua lại phần lợi ích từ cổđồng không kiểm soátKhác,-,-,-,-,-,(3.800.546.314),-,-,(3.800.546.314),,,,,,-3800546314.0,,,-3800546314.0
Của các công ty conLợi nhuận tăng trong nămChi trả thu lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty conTrích lập các quỹ dư trữMua lại phần lợi ích từ cổđồng không kiểm soátKhác,Của các công ty conLợi nhuận tăng trong nămChi trả thu lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty conTrích lập các quỹ dư trữMua lại phần lợi ích từ cổđồng không kiểm soátKhác,Của các công ty conLợi nhuận tăng trong nămChi trả thu lao Hội đồngQuản trị và Ban Kiểm soátcủa Tập đoàn và các Côngty conTrích lập các quỹ dư trữMua lại phần lợi ích từ cổđồng không kiểm soátKhác,-,-,-,5.862.771.218,-,(48.146.745.514),42.283.974.296,-,-,,,,5862771218.0,,-48146745514.0,42283974296.0,,
