row_label_raw,row_label_full,Các bên liên quan,Giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,numeric__Giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1
Các bên liên quan,Các bên liên quan,Các bên liên quan,Giao dịch,Ngày 31 tháng 12năm 2018VND,Ngày 31 tháng 12năm 2017VND,,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,
Bảo Việt Bank,Bảo Việt Bank,Bảo Việt Bank,"Số dư tiền gửi thanhtoán, ký quỹSố dư tiền gửi có kỳ hạnvà lãi dự thuSố dư trái phiếu và lãi dự thuSố dư các hợp đồngmua bán lại trái phiếuChính phủPhải thu phí CNTT, dịchvụ đảo tạoSố dư khoản vaySố dư trái phiếu BVSCphát hành và lãi dự trả",1.014.376.346.7028.150.466.858.5691.304.097.798.636(6.077.959.857.227)991.133.160(91.960.000)(208.614.780.442),1.146.016.313.3317.901.164.758.6191.304.102.118.545(4.833.671.857.676)1.149.687.360(873.110.000)-,,,
VIGEBA,VIGEBA,VIGEBA,Phải thu liên quan đếngóp vốn vào dự án TT1 -Thành phố Giao lưuPhải thu liên quan đếnhoạt động xây lắpĐặt cọc tham gia dự ánTT3 - Thành phố GiaolưuPhải trả tiền mua các cảnhộ thuộc dự án TT1 -Thành phố Giao lưuDự thu cổ tức,212.189.287.92286.788.121-,204.435.252.01286.788.12110.000.000.000(76.089.775.001)-,,,
Bảo Việt TokioMarine,VIGEBA > Bảo Việt TokioMarine,Bảo Việt TokioMarine,Phải thu cổ tức,22.050.000.000,-,,22050000000.0,
