row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,Bảo hiểm nhân thọ,Bảo hiểm phi nhân thọ,Hoạt động tài chính,Hoạt động bất động sản và hoạt động khác,Các bút toán điều chỉnh hợp nhất,Tổng,numeric__Bảo hiểm nhân thọ,numeric__Bảo hiểm phi nhân thọ,numeric__Hoạt động tài chính,numeric__Hoạt động bất động sản và hoạt động khác,numeric__Các bút toán điều chỉnh hợp nhất,numeric__Tổng
TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,846.650,319.406,734.541,52.476,206.858,2.159.931,846650.0,319406.0,734541.0,52476.0,206858.0,2159931.0
Các khoản phải thu từ hoạt động tái bảo hiểm,TÀI SẢN > Các khoản phải thu từ hoạt động tái bảo hiểm,Các khoản phải thu từ hoạt động tái bảo hiểm,906,732.857,-,-,-,733.763,906.0,732857.0,,,,733763.0
Các khoản phải thu từ hoạt động bảo hiểm,TÀI SẢN > Các khoản phải thu từ hoạt động bảo hiểm,Các khoản phải thu từ hoạt động bảo hiểm,118.568,1.526.536,-,-,(17),1.645.087,118568.0,1526536.0,,,-17.0,1645087.0
Tài sản tái bảo hiểm,TÀI SẢN > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,-,3.340.281,-,-,-,3.340.281,,3340281.0,,,,3340281.0
Các khoản phải thu khác,TÀI SẢN > Các khoản phải thu khác,Các khoản phải thu khác,3.009.864,254.039,1.020.956,270.883,(1.020.116),3.535.626,3009864.0,254039.0,1020956.0,270883.0,-1020116.0,3535626.0
Đầu tư tài chính,TÀI SẢN > Đầu tư tài chính,Đầu tư tài chính,83.223.687,7.418.842,13.404.240,53.000,(7.695.729),96.404.040,83223687.0,7418842.0,13404240.0,53000.0,-7695729.0,96404040.0
Phải thu về cho vay,TÀI SẢN > Phải thu về cho vay,Phải thu về cho vay,1.111,-,1.699.098,-,20.914,1.721.123,1111.0,,1699098.0,,20914.0,1721123.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,240.496,264.519,371.856,24.334,(56),901.149,240496.0,264519.0,371856.0,24334.0,-56.0,901149.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,270.623,403.656,73.418,14.640,-,762.337,270623.0,403656.0,73418.0,14640.0,,762337.0
Các tài sản khác,TÀI SẢN > Các tài sản khác,Các tài sản khác,225.211,894.779,688.729,143.136,(463),1.951.392,225211.0,894779.0,688729.0,143136.0,-463.0,1951392.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,87.937.116,15.154.915,17.992.838,558.469,(8.488.609),113.154.729,87937116.0,15154915.0,17992838.0,558469.0,-8488609.0,113154729.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,,,,,,,
Nợ ngắn hạn,NỘ PHẢI TRẢ > Nợ ngắn hạn,Nợ ngắn hạn,20.358.447,4.232.806,1.141.209,254.350,(210.268),25.776.544,20358447.0,4232806.0,1141209.0,254350.0,-210268.0,25776544.0
Nợ dài hạn,NỘ PHẢI TRẢ > Nợ dài hạn,Nợ dài hạn,63.317.416,8.136.775,453.441,15.550,(9.998),71.913.184,63317416.0,8136775.0,453441.0,15550.0,-9998.0,71913184.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,83.675.863,12.369.581,1.594.650,269.900,(220.266),97.689.728,83675863.0,12369581.0,1594650.0,269900.0,-220266.0,97689728.0
NGUỒN VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ > NGUỒN VỐN CHỦ SỞ HỮU,NGUỒN VỐN CHỦ SỞ HỮU,4.261.253,2.785.334,16.398.188,288.569,(8.268.343),15.465.001,4261253.0,2785334.0,16398188.0,288569.0,-8268343.0,15465001.0
TỔNG NGUỒN VỐN,NỘ PHẢI TRẢ > TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,87.937.116,15.154.915,17.992.838,558.469,(8.488.609),113.154.729,87937116.0,15154915.0,17992838.0,558469.0,-8488609.0,113154729.0
