row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2018 > Giá gốc,Ngày 31 tháng 12 năm 2018 > Giá trị ghi số,Ngày 31 tháng 12 năm 2017(trình bày lại) > Giá gốc,Ngày 31 tháng 12 năm 2017(trình bày lại) > Giá trị ghi số,numeric__Ngày 31 tháng 12 năm 2018 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2018 > Giá trị ghi số,numeric__Ngày 31 tháng 12 năm 2017(trình bày lại) > Giá gốc,numeric__Ngày 31 tháng 12 năm 2017(trình bày lại) > Giá trị ghi số
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tiền gửi (i),Ngắn hạn > Tiền gửi (i),Tiền gửi (i),51.562.858.719.740,51.120.258.719.740,27.879.590.939.483,27.436.990.939.483,51562858719740.0,51120258719740.0,27879590939483.0,27436990939483.0
Trái phiếu,Ngắn hạn > Trái phiếu,Trái phiếu,679.752.316.502,99.950.463.301,747.632.820.906,262.781.431.005,679752316502.0,99950463301.0,747632820906.0,262781431005.0
- Trái phiếu doanh nghiệp (iii),Ngắn hạn > - Trái phiếu doanh nghiệp (iii),- Trái phiếu doanh nghiệp (iii),674.752.316.502,94.950.463.301,674.752.316.502,189.900.926.601,674752316502.0,94950463301.0,674752316502.0,189900926601.0
- Trái phiếu Chính phủ (iv),Ngắn hạn > - Trái phiếu Chính phủ (iv),- Trái phiếu Chính phủ (iv),5.000.000.000,5.000.000.000,72.880.504.404,72.880.504.404,5000000000.0,5000000000.0,72880504404.0,72880504404.0
Tạm ứng từ giá trị hoàn lại (v),Ngắn hạn > Tạm ứng từ giá trị hoàn lại (v),Tạm ứng từ giá trị hoàn lại (v),1.363.210.866.787,1.363.210.866.787,1.104.007.510.605,1.104.007.510.605,1363210866787.0,1363210866787.0,1104007510605.0,1104007510605.0
,,,53.605.821.903.029,52.583.420.049.828,29.731.231.270.994,28.803.779.881.093,53605821903029.0,52583420049828.0,29731231270994.0,28803779881093.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Tiền gửi (ii),Dài hạn > Tiền gửi (ii),Tiền gửi (ii),5.319.101.717.666,5.319.101.717.666,2.763.924.337.250,2.763.924.337.250,5319101717666.0,5319101717666.0,2763924337250.0,2763924337250.0
Trái phiếu (iv),Dài hạn > Trái phiếu (iv),Trái phiếu (iv),32.719.331.480.965,32.719.331.480.454,37.800.623.620.130,37.800.623.620.130,32719331480965.0,32719331480454.0,37800623620130.0,37800623620130.0
- Trái phiếu doanh nghiệp,Dài hạn > - Trái phiếu doanh nghiệp,- Trái phiếu doanh nghiệp,3.246.571.453.533,3.246.571.453.022,3.966.021.115.281,3.966.021.115.281,3246571453533.0,3246571453022.0,3966021115281.0,3966021115281.0
- Trái phiếu Chính phủ,Dài hạn > - Trái phiếu Chính phủ,- Trái phiếu Chính phủ,29.472.760.027.432,29.472.760.027.432,33.834.602.504.849,33.834.602.504.849,29472760027432.0,29472760027432.0,33834602504849.0,33834602504849.0
,,,38.038.433.198.631,38.038.433.198.120,40.564.547.957.380,40.564.547.957.380,38038433198631.0,38038433198120.0,40564547957380.0,40564547957380.0
,,,91.644.255.101.660,90.621.853.247.948,70.295.779.228.374,69.368.327.838.473,91644255101660.0,90621853247948.0,70295779228374.0,69368327838473.0
