row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2017 (trình bày lại),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2018,numeric__Ngày 31 tháng 12 năm 2017 (trình bày lại)
400,400,400,D. VỐN CHỦ SỞ HỮU,,15.465.000.674.518,14.460.821.645.708,,,15465000674518.0,14460821645708.0
410,410,410,I. Vốn chủ sở hữu,24,15.465.000.674.518,14.460.821.645.708,,24.0,15465000674518.0,14460821645708.0
411,411,411,1. Vốn góp của chủ sở hữu,,7.008.864.340.000,6.804.714.340.000,,,7008864340000.0,6804714340000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,7.008.864.340.000,6.804.714.340.000,,,7008864340000.0,6804714340000.0
412,412,412,2. Thặng dư vốn cổ phần,,3.713.080.881.197,3.184.332.381.197,,,3713080881197.0,3184332381197.0
417,417,417,3. Chênh lệch tỷ giá hối đoái,,15.445.192.000,15.445.192.000,,,15445192000.0,15445192000.0
418,418,418,4. Quỹ đầu tư phát triển và dự phòng tài chính,,631.338.501.669,464.777.333.764,,,631338501669.0,464777333764.0
420,420,420,5. Quỹ khác thuộc vốn chủ sở hữu,,103.568.802.818,103.568.802.818,,,103568802818.0,103568802818.0
421,421,421,6. Lợi nhuận sau thuế đã thực hiện chưa phân phối,,2.872.267.535.246,2.801.609.004.124,,,2872267535246.0,2801609004124.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,,1.815.074.365.787,1.307.354.562.985,,,1815074365787.0,1307354562985.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,,1.057.193.169.459,1.494.254.441.139,,,1057193169459.0,1494254441139.0
423,423,423,7. Quỹ dự trữ bắt buộc hoạt động bảo hiểm,,427.658.966.961,385.374.992.665,,,427658966961.0,385374992665.0
429,429,429,8. Lợi ích cổ đông không kiểm soát,,692.776.454.627,700.999.599.140,,,692776454627.0,700999599140.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,113.154.728.758.546,91.391.517.260.954,,,113154728758546.0,91391517260954.0
