row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Tài sản khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Ngày 01/01/2018,Nguyên giá: > Ngày 01/01/2018,Ngày 01/01/2018,769.149.801.434,378.104.596.898,4.213.321.739,1.151.467.720.071,769149801434.0,378104596898.0,4213321739.0,1151467720071.0
- Tăng trong năm,Nguyên giá: > - Tăng trong năm,- Tăng trong năm,-,3.600.963.545,-,3.600.963.545,,3600963545.0,,3600963545.0
- Chuyển từ xây dựng cơ bản dở dang,Nguyên giá: > - Chuyển từ xây dựng cơ bản dở dang,- Chuyển từ xây dựng cơ bản dở dang,-,1.214.560.532,-,1.214.560.532,,1214560532.0,,1214560532.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(9.900.000.000),(2.246.095.675),-,(12.146.095.675),-9900000000.0,-2246095675.0,,-12146095675.0
- Điều chỉnh theo quyết toán,Nguyên giá: > - Điều chỉnh theo quyết toán,- Điều chỉnh theo quyết toán,-,(1.132.128.263),-,(1.132.128.263),,-1132128263.0,,-1132128263.0
Ngày 31/12/2018,Nguyên giá: > Ngày 31/12/2018,Ngày 31/12/2018,759.249.801.434,379.541.897.037,4.213.321.739,1.143.005.020.210,759249801434.0,379541897037.0,4213321739.0,1143005020210.0
Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,,,,
Ngày 01/01/2018,Giá trị hao mòn luỹ kế: > Ngày 01/01/2018,Ngày 01/01/2018,76.239.464.395,258.719.053.814,3.937.240.856,338.895.759.065,76239464395.0,258719053814.0,3937240856.0,338895759065.0
- Hao mòn trong năm,Giá trị hao mòn luỹ kế: > - Hao mòn trong năm,- Hao mòn trong năm,7.656.996.761,37.309.396.982,89.470.992,45.055.864.735,7656996761.0,37309396982.0,89470992.0,45055864735.0
"- Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(2.246.095.675),-,(2.246.095.675),,-2246095675.0,,-2246095675.0
- Điều chỉnh theo quyết toán,Giá trị hao mòn luỹ kế: > - Điều chỉnh theo quyết toán,- Điều chỉnh theo quyết toán,-,(1.037.258.186),-,(1.037.258.186),,-1037258186.0,,-1037258186.0
Ngày 31/12/2018,Giá trị hao mòn luỹ kế: > Ngày 31/12/2018,Ngày 31/12/2018,83.896.461.156,292.745.096.935,4.026.711.848,380.668.269.939,83896461156.0,292745096935.0,4026711848.0,380668269939.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Ngày 01/01/2018,Giá trị còn lại: > Ngày 01/01/2018,Ngày 01/01/2018,692.910.337.039,119.385.543.084,276.080.883,812.571.961.006,692910337039.0,119385543084.0,276080883.0,812571961006.0
Ngày 31/12/2018,Giá trị còn lại: > Ngày 31/12/2018,Ngày 31/12/2018,675.353.340.278,86.796.800.102,186.609.891,762.336.750.271,675353340278.0,86796800102.0,186609891.0,762336750271.0
