row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2017(trình bày lại),numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2018,numeric__Ngày 31 tháng 12 năm 2017(trình bày lại)
100,100,100,A. TÀI SẢN NGĂN HẠN,,69.319.577.185.449,44.952.009.831.502,,,69319577185449.0,44952009831502.0
110,110,110,I. Tiền và các khoản tương đương tiền,5,2.159.930.729.474,3.789.197.489.323,,5.0,2159930729474.0,3789197489323.0
111,111,111,1. Tiền,,1.766.730.729.467,1.600.597.489.316,,,1766730729467.0,1600597489316.0
112,112,112,2. Các khoản tương đương tiền,,393.200.000.007,2.188.600.000.007,,,393200000007.0,2188600000007.0
120,120,120,II. Đầu tư tài chính ngắn hạn,,55.406.654.269.544,31.154.634.771.729,,,55406654269544.0,31154634771729.0
121,121,121,1. Chứng khoán kinh doanh,14.1,3.224.104.378.513,2.648.743.079.467,,141.0,3224104378513.0,2648743079467.0
122,122,122,2. Dự phòng giảm giá chứng khoán kinh doanh,14.1,(400.870.158.797),(297.888.188.831),,141.0,-400870158797.0,-297888188831.0
123,123,123,3. Đầu tư nằm giữ đến ngày đáo hạn,14.2,52.583.420.049.828,28.803.779.881.093,,142.0,52583420049828.0,28803779881093.0
130,130,130,III. Các khoản phải thu ngắn hạn,6.1,7.565.805.870.718,6.915.014.664.074,,61.0,7565805870718.0,6915014664074.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,,5.685.647.741.473,5.436.886.698.646,,,5685647741473.0,5436886698646.0
131.1,131.1,131.1,1.1 Phải thu về hoạt động bảo hiểm,,2.378.849.636.705,2.362.224.165.955,,,2378849636705.0,2362224165955.0
131.2,131.2,131.2,1.2 Phải thu về hoạt động đầu tư tài chính,,3.306.798.104.768,3.074.662.532.691,,,3306798104768.0,3074662532691.0
132,132,132,2. Trả trước cho người bán ngắn hạn,,34.469.995.400,22.478.515.959,,,34469995400.0,22478515959.0
135,135,135,3. Phải thu về cho vay ngắn hạn,,1.721.211.234.462,1.408.715.229.254,,,1721211234462.0,1408715229254.0
136,136,136,4. Phải thu ngắn hạn khác,,489.177.244.161,443.761.992.911,,,489177244161.0,443761992911.0
137,137,137,5. Dự phòng phải thu ngắn hạn khó đòi,,(364.903.209.285),(397.030.637.203),,,-364903209285.0,-397030637203.0
139,139,139,6. Tài sản thiếu chờ xử lý,,202.864.507,202.864.507,,,202864507.0,202864507.0
140,140,140,IV. Hàng tồn kho,7,149.071.925.286,144.572.406.356,,7.0,149071925286.0,144572406356.0
150,150,150,V. Tài sản ngắn hạn khác,,697.833.021.811,603.935.685.514,,,697833021811.0,603935685514.0
151,151,151,1. Chi phí trả trước ngắn hạn,,659.819.971.574,565.835.345.145,,,659819971574.0,565835345145.0
151.1,151.1,151.1,1.1 Chi phí hoa hồng chưa phân bổ,8,603.529.886.890,518.158.616.567,,8.0,603529886890.0,518158616567.0
151.2,151.2,151.2,1.2 Chi phí trả trước ngắn hạn khác,9,56.290.084.684,47.676.728.578,,9.0,56290084684.0,47676728578.0
152,152,152,2. Thuế GTGT được khấu trừ,,29.151.851.788,30.372.462.150,,,29151851788.0,30372462150.0
155,155,155,3. Tài sản ngắn hạn khác,,8.861.198.449,7.727.878.219,,,8861198449.0,7727878219.0
190,190,190,VI. Tài sản tái bảo hiểm,,3.340.281.368.616,2.344.654.814.506,,,3340281368616.0,2344654814506.0
191,191,191,1. Dự phòng phí nhượng tái bảo hiểm,23,1.615.482.739.727,976.386.202.557,,23.0,1615482739727.0,976386202557.0
192,192,192,2. Dự phòng bởi thượng nhượng tái bảo hiểm,23,1.724.798.628.889,1.368.268.611.949,,23.0,1724798628889.0,1368268611949.0
