row_label_raw,row_label_full,col_0,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 VND,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 VND
Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,18.1,347.889.691.516,261.888.124.591,181.0,347889691516.0,261888124591.0
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,823.485.128,4.818.746.886,,823485128.0,4818746886.0
Tổng cộng,Tổng cộng,Tổng cộng,,348.713.176.644,266.706.871.477,,348713176644.0,266706871477.0
